dataset,image,mode,width,height,cu_count,min_area,max_area,avg_area,dominant_sizes
synthetic,fine_texture_512x512,baseline,512,512,351,128,1024,746.8490028490029,32x32:191; 16x32:58; 16x16:53; 32x16:43; 32x8:2; 8x16:2
synthetic,fine_texture_512x512,csf,512,512,16094,16,64,16.28830620106872,4x4:15820; 4x8:160; 8x4:106; 4x16:8
synthetic,mixed_content_512x512,baseline,512,512,549,16,4096,477.4936247723133,16x16:107; 32x32:82; 8x8:61; 4x4:38; 4x16:32; 8x16:31
synthetic,mixed_content_512x512,csf,512,512,540,16,4096,485.45185185185187,16x16:116; 32x32:63; 8x8:61; 4x4:46; 4x16:37; 64x64:30
synthetic,sharp_edges_512x512,baseline,512,512,577,16,4096,454.3223570190641,16x16:115; 32x32:114; 16x32:67; 8x8:56; 16x8:40; 4x32:36
synthetic,sharp_edges_512x512,csf,512,512,576,16,4096,455.1111111111111,16x16:145; 32x32:112; 16x32:67; 8x8:55; 4x32:36; 8x16:33
synthetic,smooth_gradient_512x512,baseline,512,512,64,4096,4096,4096.0,64x64:64
synthetic,smooth_gradient_512x512,csf,512,512,64,4096,4096,4096.0,64x64:64
kodak,kodim01,baseline,768,512,5627,16,1024,69.88022036609206,8x8:1162; 8x4:870; 4x4:862; 4x8:645; 16x4:639; 16x8:445
kodak,kodim01,csf,768,512,12897,16,1024,30.48895091881833,4x4:8890; 8x4:1494; 4x8:781; 8x8:577; 16x4:349; 4x16:280
kodak,kodim02,baseline,768,512,3739,16,4096,105.16608718908799,8x8:769; 4x4:462; 8x4:425; 4x8:344; 16x4:315; 4x16:294
kodak,kodim02,csf,768,512,4614,16,4096,85.222366710013,4x4:1268; 8x8:607; 8x4:554; 4x8:408; 16x4:406; 4x16:327
kodak,kodim03,baseline,768,512,2633,16,4096,149.34143562476262,8x8:438; 4x4:412; 16x16:326; 8x4:322; 4x8:196; 16x8:162
kodak,kodim03,csf,768,512,3645,16,4096,107.87818930041152,4x4:1268; 8x4:599; 8x8:414; 16x16:271; 4x8:255; 16x8:138
kodak,kodim04,baseline,512,768,2405,16,4096,163.4993762993763,8x8:425; 16x16:307; 4x4:276; 16x8:185; 8x4:181; 4x8:169
kodak,kodim04,csf,512,768,3210,16,4096,122.49719626168225,4x4:820; 8x8:490; 8x4:336; 16x16:303; 4x8:246; 16x8:202
kodak,kodim05,baseline,768,512,8976,16,4096,43.80748663101604,4x4:3556; 8x8:1597; 4x8:1420; 8x4:1356; 4x16:234; 16x4:210
kodak,kodim05,csf,768,512,11959,16,1024,32.8803411656493,4x4:7162; 8x4:1511; 4x8:1348; 8x8:1171; 16x4:206; 16x16:147
kodak,kodim06,baseline,768,512,3558,16,4096,110.51602023608768,4x4:716; 8x4:610; 8x8:569; 16x4:370; 16x8:362; 4x8:220
kodak,kodim06,csf,768,512,7936,16,4096,49.54838709677419,4x4:3790; 8x4:2037; 16x4:661; 8x8:474; 16x8:283; 4x8:230
