image,mode,width,height,cu_count,min_area,max_area,avg_area,dominant_sizes
baboon,baseline,512,512,3016,16,1024,86.91777188328912,8x4:498; 4x8:399; 4x4:394; 8x8:357; 16x8:356; 16x4:332
baboon,csf,512,512,4881,16,1024,53.70702724851465,4x4:1310; 8x4:1244; 4x8:801; 16x4:439; 32x4:253; 8x8:242
barbara,baseline,512,512,1638,16,4096,160.03907203907204,8x16:241; 8x8:197; 4x16:183; 16x8:180; 4x8:154; 16x16:122
barbara,csf,512,512,2326,16,4096,112.70163370593293,4x8:551; 4x16:264; 8x16:217; 8x8:208; 4x4:192; 8x4:191
goldhill,baseline,512,512,2352,16,1024,111.45578231292517,8x8:390; 4x8:316; 8x4:254; 8x16:233; 16x8:228; 4x16:184
goldhill,csf,512,512,2890,16,1024,90.70726643598616,4x8:487; 8x4:432; 4x4:378; 8x8:366; 16x8:223; 4x16:213
lenna,baseline,512,512,1627,16,4096,161.12108174554393,4x8:222; 8x16:202; 8x8:189; 4x4:152; 16x16:144; 8x4:134
lenna,csf,512,512,1942,16,4096,134.98661174047373,4x8:338; 4x4:258; 8x8:253; 8x4:209; 8x16:191; 4x16:137
peppers,baseline,512,512,1963,16,4096,133.5425369332654,8x8:281; 8x16:243; 8x4:194; 4x8:188; 4x4:180; 16x8:175
peppers,csf,512,512,2021,16,4096,129.7100445324097,8x8:282; 8x4:215; 4x4:208; 4x8:203; 8x16:202; 16x8:197
