dataset,image,mode,width,height,cu_count,min_area,max_area,avg_area,dominant_sizes
synthetic,fine_texture_512x512,baseline,512,512,528,64,1024,496.4848484848485,32x32:149; 16x16:141; 16x8:66; 32x16:59; 16x32:44; 8x16:30
synthetic,fine_texture_512x512,csf,512,512,9341,16,128,28.063804731827428,4x4:3592; 8x4:2735; 4x8:2411; 8x8:338; 4x16:130; 16x4:113
synthetic,mixed_content_512x512,baseline,512,512,891,16,4096,294.2132435465769,16x16:398; 16x8:78; 16x4:64; 8x16:62; 4x16:61; 4x8:48
synthetic,mixed_content_512x512,csf,512,512,873,16,4096,300.2794959908362,16x16:421; 16x8:69; 16x4:66; 4x16:57; 8x16:56; 4x4:42
synthetic,sharp_edges_512x512,baseline,512,512,850,16,1024,308.4047058823529,32x32:133; 4x32:90; 16x32:79; 16x16:72; 4x8:66; 8x32:63
synthetic,sharp_edges_512x512,csf,512,512,876,16,1024,299.2511415525114,32x32:132; 4x32:96; 4x8:79; 8x32:79; 16x32:74; 16x16:73
synthetic,smooth_gradient_512x512,baseline,512,512,67,1024,4096,3912.597014925373,64x64:63; 32x32:4
synthetic,smooth_gradient_512x512,csf,512,512,67,1024,4096,3912.597014925373,64x64:63; 32x32:4
kodak,kodim01,baseline,768,512,5142,16,1024,76.47141190198366,8x4:938; 16x4:826; 8x8:635; 4x8:589; 16x8:513; 4x4:502
kodak,kodim01,csf,768,512,8192,16,1024,48.0,8x4:2381; 4x4:2072; 4x8:1225; 16x4:803; 8x8:545; 4x16:373
kodak,kodim02,baseline,768,512,2796,16,4096,140.6351931330472,16x4:299; 8x8:295; 8x16:268; 16x8:261; 8x4:243; 4x16:233
kodak,kodim02,csf,768,512,3141,16,4096,125.18815663801337,8x4:342; 4x8:340; 16x4:316; 8x8:294; 4x4:276; 8x16:262
kodak,kodim03,baseline,768,512,2446,16,4096,160.75878986099755,8x4:339; 4x8:296; 8x8:255; 4x4:254; 16x16:179; 16x8:177
kodak,kodim03,csf,768,512,2858,16,4096,137.5843247025892,8x4:563; 4x4:420; 4x8:365; 8x8:224; 16x4:197; 8x16:185
kodak,kodim04,baseline,512,768,2205,16,4096,178.32925170068026,16x8:222; 8x16:221; 8x8:221; 4x4:198; 4x8:177; 16x16:172
kodak,kodim04,csf,512,768,2446,16,4096,160.75878986099755,8x4:268; 4x4:248; 4x8:232; 16x8:219; 8x8:209; 8x16:205
kodak,kodim05,baseline,768,512,8002,16,1024,49.13971507123219,4x4:2050; 8x4:1719; 4x8:1636; 8x8:1131; 16x4:360; 16x8:317
kodak,kodim05,csf,768,512,9248,16,1024,42.51903114186851,4x4:3070; 4x8:2039; 8x4:1970; 8x8:889; 16x4:334; 4x16:269
kodak,kodim06,baseline,768,512,3147,16,4096,124.94947569113441,8x4:619; 16x4:417; 16x8:405; 8x8:288; 4x4:282; 32x8:233
kodak,kodim06,csf,768,512,4035,16,4096,97.45130111524163,8x4:998; 16x4:709; 4x4:536; 16x8:338; 32x4:325; 4x8:310
kodak,kodim07,baseline,768,512,4112,16,4096,95.62645914396887,4x4:770; 8x4:714; 4x8:641; 8x8:488; 16x8:277; 8x16:250
kodak,kodim07,csf,768,512,4413,16,4096,89.10401087695445,4x4:984; 8x4:784; 4x8:736; 8x8:459; 8x16:275; 16x8:255
kodak,kodim08,baseline,768,512,6585,16,1024,59.713895216400914,4x8:1435; 8x4:1235; 4x4:1192; 8x8:736; 4x16:581; 16x4:408
kodak,kodim08,csf,768,512,7411,16,1024,53.05842666306841,4x4:1636; 4x8:1625; 8x4:1565; 8x8:680; 4x16:578; 16x4:428
kodak,kodim09,baseline,512,768,2267,16,4096,173.452139391266,4x8:311; 4x4:286; 8x4:252; 8x8:239; 16x8:164; 8x16:156
kodak,kodim09,csf,512,768,2654,16,4096,148.15975885455916,8x4:405; 4x4:390; 4x8:364; 8x8:236; 16x4:206; 4x16:178
kodak,kodim10,baseline,512,768,3069,16,4096,128.12512218963832,4x8:434; 8x4:365; 4x4:330; 8x8:319; 8x16:262; 16x8:237
kodak,kodim10,csf,512,768,3352,16,4096,117.30787589498807,4x8:492; 8x4:491; 4x4:438; 8x8:304; 8x16:261; 16x4:242
kodak,kodim11,baseline,768,512,3981,16,4096,98.7731725697061,8x4:693; 4x8:536; 4x4:466; 16x4:424; 8x8:375; 16x8:311
kodak,kodim11,csf,768,512,4843,16,4096,81.19264918438984,4x4:1000; 8x4:954; 4x8:660; 16x4:516; 8x8:311; 16x8:308
kodak,kodim12,baseline,768,512,2457,16,4096,160.03907203907204,8x8:274; 16x8:261; 8x4:251; 4x4:246; 4x8:232; 16x4:207
kodak,kodim12,csf,768,512,2680,16,4096,146.7223880597015,8x4:342; 16x4:329; 4x8:263; 4x4:254; 8x8:252; 16x8:239
kodak,kodim13,baseline,768,512,6124,16,1024,64.20901371652515,8x4:1554; 4x4:1054; 8x8:782; 16x4:682; 4x8:627; 16x8:576
kodak,kodim13,csf,768,512,9775,16,1024,40.226700767263424,4x4:3106; 8x4:2904; 4x8:1621; 16x4:710; 8x8:583; 4x16:290
kodak,kodim14,baseline,768,512,5686,16,1024,69.15511783327472,8x4:1293; 4x4:1074; 8x8:719; 4x8:710; 16x4:545; 16x8:500
