distortion,level,seed,qp,feature,primary,n_images,rho,oriented_rho,ci_low,ci_high,ci_invalid_resamples,ci_evaluable,ci_degenerate,permutation_p,holm_p,unique_feature_values,unique_density_values
awgn,5,20260811,22,sobel_si,True,24,0.6330434782608696,0.6330434782608696,0.2882664593164649,0.8362704179122877,0,True,False,0.0012,0.06839999999999999,24,24
awgn,5,20260811,22,luma_sd,True,24,0.08956521739130437,0.08956521739130437,-0.3589536453430534,0.5228897467373046,0,True,False,0.67638,1.0,24,24
awgn,5,20260811,22,edge_fraction,True,24,0.8260869565217391,0.8260869565217391,0.6091338257782644,0.919650655021834,0,True,False,2e-05,0.00284,24,24
awgn,5,20260811,22,glcm_contrast,True,24,0.7330434782608695,0.7330434782608695,0.41830924222514243,0.9080560420315233,0,True,False,5e-05,0.005350000000000001,24,24
awgn,5,20260811,22,glcm_entropy,True,24,0.6347826086956521,0.6347826086956521,0.2854640980735551,0.8413672217353201,0,True,False,0.00101,0.0606,24,24
awgn,5,20260811,22,glcm_homogeneity,True,24,-0.7321739130434782,0.7321739130434782,-0.8916083916083914,-0.42270652458746716,0,True,False,6e-05,0.00606,24,24
awgn,5,20260811,27,sobel_si,True,24,0.6092628976383188,0.6092628976383188,0.2569405437756709,0.8165057067603159,0,True,False,0.00199,0.10348,24,23
awgn,5,20260811,27,luma_sd,True,24,0.08175690560742607,0.08175690560742607,-0.378745975800391,0.5380577427821522,0,True,False,0.70248,1.0,24,23
awgn,5,20260811,27,edge_fraction,True,24,0.8397477911060625,0.8397477911060625,0.638354288449512,0.92502834980304,0,True,False,2e-05,0.00284,24,23
awgn,5,20260811,27,glcm_contrast,True,24,0.7371167819392935,0.7371167819392935,0.42341151720097137,0.909886264216973,0,True,False,5e-05,0.005350000000000001,24,23
awgn,5,20260811,27,glcm_entropy,True,24,0.6710154540013746,0.6710154540013746,0.34092851101858906,0.8679492785308263,0,True,False,0.00039,0.02613,24,23
awgn,5,20260811,27,glcm_homogeneity,True,24,-0.7527723596088006,0.7527723596088006,-0.9066326271840944,-0.4569562254671509,0,True,False,6e-05,0.00606,24,23
awgn,5,20260811,32,sobel_si,True,24,0.717391304347826,0.717391304347826,0.42844637028527083,0.8743963459468116,0,True,False,0.00012,0.01044,24,24
awgn,5,20260811,32,luma_sd,True,24,0.1913043478260869,0.1913043478260869,-0.2383895618612947,0.5873322954202134,0,True,False,0.36959,1.0,24,24
awgn,5,20260811,32,edge_fraction,True,24,0.8747826086956522,0.8747826086956522,0.707017543859649,0.9403247038174638,0,True,False,2e-05,0.00284,24,24
awgn,5,20260811,32,glcm_contrast,True,24,0.7843478260869564,0.7843478260869564,0.528481294132712,0.9088518843120073,0,True,False,2e-05,0.00284,24,24
awgn,5,20260811,32,glcm_entropy,True,24,0.7017391304347825,0.7017391304347825,0.4035854831657193,0.8635767380848273,0,True,False,0.00018,0.01386,24,24
awgn,5,20260811,32,glcm_homogeneity,True,24,-0.8008695652173913,0.8008695652173913,-0.9082167832167831,-0.5641899141219175,0,True,False,2e-05,0.00284,24,24
awgn,5,20260811,37,sobel_si,True,24,0.7930434782608695,0.7930434782608695,0.5440557665502387,0.918812745525971,0,True,False,2e-05,0.00284,24,24
awgn,5,20260811,37,luma_sd,True,24,0.21565217391304348,0.21565217391304348,-0.2147255429730756,0.6082203760384783,0,True,False,0.30983,1.0,24,24
awgn,5,20260811,37,edge_fraction,True,24,0.8878260869565218,0.8878260869565218,0.7327508997552665,0.9502183406113536,0,True,False,1e-05,0.00168,24,24
awgn,5,20260811,37,glcm_contrast,True,24,0.8426086956521739,0.8426086956521739,0.6248904082991878,0.9432066404543469,0,True,False,1e-05,0.00168,24,24
awgn,5,20260811,37,glcm_entropy,True,24,0.7330434782608695,0.7330434782608695,0.4429824561403508,0.8855895196506549,0,True,False,9e-05,0.00855,24,24
awgn,5,20260811,37,glcm_homogeneity,True,24,-0.8347826086956522,0.8347826086956522,-0.9212959919398486,-0.6227571115973742,0,True,False,1e-05,0.00168,24,24
awgn,5,20260812,22,sobel_si,False,24,0.6401391758198467,0.6401391758198467,0.2881538359126874,0.8457510812843483,0,True,False,nan,nan,24,23
awgn,5,20260812,22,luma_sd,False,24,0.08436616855234393,0.08436616855234393,-0.36902585379310776,0.5278639956331117,0,True,False,nan,nan,24,23
awgn,5,20260812,22,edge_fraction,False,24,0.8197434418616923,0.8197434418616923,0.5835542606245837,0.9253075571177506,0,True,False,nan,nan,24,23
awgn,5,20260812,22,glcm_contrast,False,24,0.7258099758446496,0.7258099758446496,0.4027076024943314,0.9086517347386913,0,True,False,nan,nan,24,23
awgn,5,20260812,22,glcm_entropy,False,24,0.646227456024655,0.646227456024655,0.312934381569351,0.8401053340136945,0,True,False,nan,nan,24,23
awgn,5,20260812,22,glcm_homogeneity,False,24,-0.7131985382775466,0.7131985382775466,-0.8774257508455702,-0.39981921603960197,0,True,False,nan,nan,24,23
awgn,5,20260812,27,sobel_si,False,24,0.5930434782608696,0.5930434782608696,0.22800875273522975,0.8139768635562706,0,True,False,nan,nan,24,24
awgn,5,20260812,27,luma_sd,False,24,0.06260869565217392,0.06260869565217392,-0.4099751092465812,0.5286953642065342,0,True,False,nan,nan,24,24
awgn,5,20260812,27,edge_fraction,False,24,0.8556521739130435,0.8556521739130435,0.6560440005463295,0.9368421052631577,0,True,False,nan,nan,24,24
awgn,5,20260812,27,glcm_contrast,False,24,0.7278260869565216,0.7278260869565216,0.41051845342706533,0.9017565395294461,0,True,False,nan,nan,24,24
awgn,5,20260812,27,glcm_entropy,False,24,0.6652173913043478,0.6652173913043478,0.3236829375549692,0.8636959370904325,0,True,False,nan,nan,24,24
awgn,5,20260812,27,glcm_homogeneity,False,24,-0.737391304347826,0.737391304347826,-0.9043403183299127,-0.43283516770632613,0,True,False,nan,nan,24,24
awgn,5,20260812,32,sobel_si,False,24,0.7104347826086956,0.7104347826086956,0.4169224024550635,0.8729741568112135,0,True,False,nan,nan,24,24
