feature,qp,distortion,level,seed,n_images,rho
sobel_si,22,clean,0,,48,0.6581632653061226
sobel_si,22,awgn,30,20260811,48,0.7712765957446809
sobel_si,22,awgn,30,20260812,48,0.7979808944854538
sobel_si,22,awgn,30,20260813,48,0.7755102040816328
sobel_si,27,clean,0,,48,0.6781372123317413
sobel_si,27,awgn,30,20260811,48,0.8336635278669229
sobel_si,27,awgn,30,20260812,48,0.863438992618324
sobel_si,27,awgn,30,20260813,48,0.8512809379070778
sobel_si,32,clean,0,,48,0.7594442032132003
sobel_si,32,awgn,30,20260811,48,0.8817000030386284
sobel_si,32,awgn,30,20260812,48,0.8965479808944855
sobel_si,32,awgn,30,20260813,48,0.8768996960486325
sobel_si,37,clean,0,,48,0.8447676943117673
sobel_si,37,awgn,30,20260811,48,0.8793964394268348
sobel_si,37,awgn,30,20260812,48,0.871037776812853
sobel_si,37,awgn,30,20260813,48,0.8838168646563646
luma_sd,22,clean,0,,48,0.04320451584889279
luma_sd,22,awgn,30,20260811,48,0.2532566217976553
luma_sd,22,awgn,30,20260812,48,0.23849326964828488
luma_sd,22,awgn,30,20260813,48,0.23187147199305258
luma_sd,27,clean,0,,48,0.08608336951802
luma_sd,27,awgn,30,20260811,48,0.2324205499268288
luma_sd,27,awgn,30,20260812,48,0.1901867129830656
luma_sd,27,awgn,30,20260813,48,0.24446374294398618
luma_sd,32,clean,0,,48,0.10811984368215374
luma_sd,32,awgn,30,20260811,48,0.2216191278260724
luma_sd,32,awgn,30,20260812,48,0.2245983499782893
luma_sd,32,awgn,30,20260813,48,0.23295701259227103
luma_sd,37,clean,0,,48,0.18237082066869303
luma_sd,37,awgn,30,20260811,48,0.3059053408597482
luma_sd,37,awgn,30,20260812,48,0.3311984368215371
luma_sd,37,awgn,30,20260813,48,0.3282763862581645
edge_fraction,22,clean,0,,48,0.6140903169778551
edge_fraction,22,awgn,30,20260811,48,-0.01807474150528582
edge_fraction,22,awgn,30,20260812,48,-0.0036908380373425753
edge_fraction,22,awgn,30,20260813,48,-0.004559270516717312
edge_fraction,27,clean,0,,48,0.6659791576204952
edge_fraction,27,awgn,30,20260811,48,0.2778049177658362
edge_fraction,27,awgn,30,20260812,48,0.2528224055579679
edge_fraction,27,awgn,30,20260813,48,0.24196699956578382
edge_fraction,32,clean,0,,48,0.7026704298740774
edge_fraction,32,awgn,30,20260811,48,0.18088802040927104
edge_fraction,32,awgn,30,20260812,48,0.2440295267042988
edge_fraction,32,awgn,30,20260813,48,0.1634824142422927
edge_fraction,37,clean,0,,48,0.7354537559704735
edge_fraction,37,awgn,30,20260811,48,0.40415773347855377
edge_fraction,37,awgn,30,20260812,48,0.35258358662613987
edge_fraction,37,awgn,30,20260813,48,0.3742502783151529
glcm_contrast,22,clean,0,,48,0.741858445505862
glcm_contrast,22,awgn,30,20260811,48,0.19963091619626575
glcm_contrast,22,awgn,30,20260812,48,0.22362136343899267
glcm_contrast,22,awgn,30,20260813,48,0.23154580981328707
glcm_contrast,27,clean,0,,48,0.7673686495874947
glcm_contrast,27,awgn,30,20260811,48,0.4783564471053578
glcm_contrast,27,awgn,30,20260812,48,0.48295701259227103
glcm_contrast,27,awgn,30,20260813,48,0.481654363873209
glcm_contrast,32,clean,0,,48,0.8226226660877118
glcm_contrast,32,awgn,30,20260811,48,0.421635411450632
glcm_contrast,32,awgn,30,20260812,48,0.4844767694311768
glcm_contrast,32,awgn,30,20260813,48,0.4170646982197135
glcm_contrast,37,clean,0,,48,0.8764654798089451
glcm_contrast,37,awgn,30,20260811,48,0.5886886669561442
glcm_contrast,37,awgn,30,20260812,48,0.5490664350846723
glcm_contrast,37,awgn,30,20260813,48,0.5929926454812248
glcm_entropy,22,clean,0,,48,0.5325662179765523
glcm_entropy,22,awgn,30,20260811,48,-0.07891880156317849
glcm_entropy,22,awgn,30,20260812,48,-0.06914893617021278
glcm_entropy,22,awgn,30,20260813,48,-0.06686930091185411
glcm_entropy,27,clean,0,,48,0.5856491532783327
glcm_entropy,27,awgn,30,20260811,48,0.12142101125322649
glcm_entropy,27,awgn,30,20260812,48,0.09259661311333048
glcm_entropy,27,awgn,30,20260813,48,0.10833695180199743
glcm_entropy,32,clean,0,,48,0.6264654798089448
glcm_entropy,32,awgn,30,20260811,48,0.054169946012838616
glcm_entropy,32,awgn,30,20260812,48,0.0973729917498915
glcm_entropy,32,awgn,30,20260813,48,0.04103343465045595
glcm_entropy,37,clean,0,,48,0.6910551454624404
glcm_entropy,37,awgn,30,20260811,48,0.2581415544941381
glcm_entropy,37,awgn,30,20260812,48,0.23198002605297444
glcm_entropy,37,awgn,30,20260813,48,0.26683312084079647
glcm_homogeneity,22,clean,0,,48,-0.6673903603994791
glcm_homogeneity,22,awgn,30,20260811,48,0.23610508033000438
glcm_homogeneity,22,awgn,30,20260812,48,0.21211463308727752
glcm_homogeneity,22,awgn,30,20260813,48,0.20755536257056015
glcm_homogeneity,27,clean,0,,48,-0.7132001736864961
glcm_homogeneity,27,awgn,30,20260811,48,-0.04184872582755374
glcm_homogeneity,27,awgn,30,20260812,48,-0.030720798957881018
glcm_homogeneity,27,awgn,30,20260813,48,-0.026921406860616604
glcm_homogeneity,32,clean,0,,48,-0.7526052974381242
glcm_homogeneity,32,awgn,30,20260811,48,0.036963660555854844
glcm_homogeneity,32,awgn,30,20260812,48,-0.03050369083803739
glcm_homogeneity,32,awgn,30,20260813,48,0.042770299609205385
glcm_homogeneity,37,clean,0,,48,-0.7990664350846723
glcm_homogeneity,37,awgn,30,20260811,48,-0.17498914459400786
glcm_homogeneity,37,awgn,30,20260812,48,-0.14166304819800266
glcm_homogeneity,37,awgn,30,20260813,48,-0.18286427667059463
