effect_type,feature,qp,resampling,n_images,n_clusters,family_size,alpha,bootstrap_resamples,rho_clean,rho_noisy_mean3,b_homogeneity,b_other,estimate,bound_low,bound_high,simultaneous_low,simultaneous_high,critical_value,evaluable,invalid_resamples,excludes_zero
B,sobel_si,22,image,48,48,44,0.05,99999,0.6581632653061226,0.7815892314372558,-0.8859820523954264,0.12342596613113321,0.12342596613113321,-2.0,2.0,-0.38046288083238644,0.6273148130946529,0.5038888469635197,True,0,False
B,sobel_si,27,image,48,48,44,0.05,99999,0.6781372123317413,0.8494611527974416,-0.680036529804479,0.17132394046570032,0.17132394046570032,-2.0,2.0,-0.33256490649781933,0.67521278742922,0.5038888469635197,True,0,False
B,sobel_si,32,image,48,48,44,0.05,99999,0.7594442032132003,0.8850492266605822,-0.7690153872137985,0.1256050234473819,0.1256050234473819,-2.0,2.0,-0.37828382351613776,0.6294938704109015,0.5038888469635197,True,0,False
B,sobel_si,37,image,48,48,44,0.05,99999,0.8447676943117673,0.8780836936320174,-0.6325609452638039,0.03331599932025009,0.03331599932025009,-2.0,2.0,-0.47057284764326957,0.5372048462837697,0.5038888469635197,True,0,False
B,luma_sd,22,image,48,48,44,0.05,99999,0.04320451584889279,0.24120712114633092,-0.8859820523954264,0.19800260529743813,0.19800260529743813,-2.0,2.0,-0.3058862416660815,0.7018914522609578,0.5038888469635197,True,0,False
B,luma_sd,27,image,48,48,44,0.05,99999,0.08608336951802,0.22235700195129351,-0.680036529804479,0.1362736324332735,0.1362736324332735,-2.0,2.0,-0.36761521453024615,0.6401624793967932,0.5038888469635197,True,0,False
B,luma_sd,32,image,48,48,44,0.05,99999,0.10811984368215374,0.2263914967988776,-0.7690153872137985,0.11827165311672386,0.11827165311672386,-2.0,2.0,-0.3856171938467958,0.6221605000802435,0.5038888469635197,True,0,False
B,luma_sd,37,image,48,48,44,0.05,99999,0.18237082066869303,0.32179338797981666,-0.6325609452638039,0.13942256731112362,0.13942256731112362,-2.0,2.0,-0.36446627965239603,0.6433114142746432,0.5038888469635197,True,0,False
B,edge_fraction,22,image,48,48,44,0.05,99999,0.6140903169778551,-0.008774950019781902,-0.8859820523954264,-0.622865266997637,-0.622865266997637,-2.0,2.0,-1.1267541139611565,-0.11897642003411735,0.5038888469635197,True,0,True
B,edge_fraction,27,image,48,48,44,0.05,99999,0.6659791576204952,0.25753144096319597,-0.680036529804479,-0.40844771665729923,-0.40844771665729923,-2.0,2.0,-0.9123365636208189,0.09544113030622042,0.5038888469635197,True,0,False
