dataset,source,stimulus,distortion,level,seed,actual_luma_rms,qp,cu_count,coded_width,coded_height,coded_area,image_sha256,conversion,encoder_sha256,decoder_sha256,encoder_config_sha256,reconstruction_verified,cu_coverage_verified,sobel_si,luma_sd,edge_fraction,glcm_contrast,glcm_entropy,glcm_homogeneity
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260811,awgn,30,20260811,28.501873244801434,22,3963,768,512,393216,7308e26e821c20c5d4b5b63c20738dcf99d05142675eeacedcc40a87cff2bb9b,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,True,True,76.40962488375607,71.47355504975151,0.8546024676189014,1.6665195233797674,3.580702943530522,0.5904459007828918
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260811,awgn,30,20260811,28.501873244801434,27,3919,768,512,393216,7308e26e821c20c5d4b5b63c20738dcf99d05142675eeacedcc40a87cff2bb9b,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,True,True,76.40962488375607,71.47355504975151,0.8546024676189014,1.6665195233797674,3.580702943530522,0.5904459007828918
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260811,awgn,30,20260811,28.501873244801434,32,3026,768,512,393216,7308e26e821c20c5d4b5b63c20738dcf99d05142675eeacedcc40a87cff2bb9b,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,True,True,76.40962488375607,71.47355504975151,0.8546024676189014,1.6665195233797674,3.580702943530522,0.5904459007828918
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260811,awgn,30,20260811,28.501873244801434,37,3177,768,512,393216,7308e26e821c20c5d4b5b63c20738dcf99d05142675eeacedcc40a87cff2bb9b,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,True,True,76.40962488375607,71.47355504975151,0.8546024676189014,1.6665195233797674,3.580702943530522,0.5904459007828918
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260812,awgn,30,20260812,28.58226356691723,22,4217,768,512,393216,0f52cc21b085fb2f25aa64f1a1a51dd63b5e74a74b637abc5798151c7f708aa6,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,True,True,76.7038189821274,71.58717363537254,0.8561613679414325,1.6723449386908535,3.5820277469611477,0.5900325756162785
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260812,awgn,30,20260812,28.58226356691723,27,3792,768,512,393216,0f52cc21b085fb2f25aa64f1a1a51dd63b5e74a74b637abc5798151c7f708aa6,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,True,True,76.7038189821274,71.58717363537254,0.8561613679414325,1.6723449386908535,3.5820277469611477,0.5900325756162785
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260812,awgn,30,20260812,28.58226356691723,32,3183,768,512,393216,0f52cc21b085fb2f25aa64f1a1a51dd63b5e74a74b637abc5798151c7f708aa6,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,True,True,76.7038189821274,71.58717363537254,0.8561613679414325,1.6723449386908535,3.5820277469611477,0.5900325756162785
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260812,awgn,30,20260812,28.58226356691723,37,3315,768,512,393216,0f52cc21b085fb2f25aa64f1a1a51dd63b5e74a74b637abc5798151c7f708aa6,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,True,True,76.7038189821274,71.58717363537254,0.8561613679414325,1.6723449386908535,3.5820277469611477,0.5900325756162785
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260813,awgn,30,20260813,28.505641133578468,22,4059,768,512,393216,34799a49cc9845b4ea7533330b27c56966965b7cbbe0567b9cb53d7c4f3abad0,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,True,True,76.50893408964822,71.46123588885197,0.8553627195003328,1.6705862406650867,3.581573228059734,0.5898424349207243
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260813,awgn,30,20260813,28.505641133578468,27,4028,768,512,393216,34799a49cc9845b4ea7533330b27c56966965b7cbbe0567b9cb53d7c4f3abad0,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,True,True,76.50893408964822,71.46123588885197,0.8553627195003328,1.6705862406650867,3.581573228059734,0.5898424349207243
