source,original_path,original_sha256,pixel_sha256,original_width,original_height,selection_rank,source_index,pilot,crop_x,crop_y,crop_width,crop_height,crop_path,crop_sha256
0801.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0801.png,ab5cf6a1cac2d1c2d0792dbd274fd2e53e42118ab6537771a825fd87aa28a60c,476aa378b158345725088661902a327f4915b5bb4e3c38d021799f17cae4b5d8,2040,1356,7,0,False,636,422,768,512,results/vtm_noise_validation/sources/0801.png,94c73baf65fcbe611b84d239cc9c8f1ad3c37b2f79cf39cd133adfbbf3e0b237
0802.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0802.png,4ad6f3ca8bf740192042978121f05ec493ddbe5a3da5584eaf0d9699c25ee431,16187362227105b85f18728778c0b4593885494c00636cfa2e0abefd5c711c5e,2040,1356,31,1,False,636,422,768,512,results/vtm_noise_validation/sources/0802.png,f1e7268d4de3eeeada79ea3718d593d60b474cd54280be7732f2badd1920f85c
0803.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0803.png,4b0148a9a1ff877ad9f76e65736a50cc36e10822b5d8ccd2abb2988ff4e1782b,0074f678684d0866efe642b17b98a8798297e41e5ada8a2cea6ced12eb8939e0,2040,1536,39,2,False,636,512,768,512,results/vtm_noise_validation/sources/0803.png,5b5318eeb6b7db9790b9df892da3e00c5fd8f71b77253a49ea3e215a0329d2d0
0807.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0807.png,4a2493d918862f703f783dc675bacbae5bd7698aa58f81ddb8bb71cf39ac173a,6ad6f4923254a9ffea4497675b408f4a6808b83c7f7d7316806069f27977bea5,2040,1128,48,3,False,636,308,768,512,results/vtm_noise_validation/sources/0807.png,dbe8c8f6ecfa716d602d2974b2af96bb5982c163bbb342de4bbe17512e1781b2
0809.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0809.png,a0b094da02bcaeabea1976fb939c87366d437bdda1a796fbc3f4700fb5e7bbed,edfea61ce75a529503712ea44205b60609e658290f0cd4f40776338689b2f88a,2040,1356,4,4,False,636,422,768,512,results/vtm_noise_validation/sources/0809.png,08fdba2dcb46de5c785d11fb3ed05ae40e7df71730aed624446d0225cf795a77
0810.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0810.png,6940c660b97d2c5f1113101c3e6360d1d6886743c5796cad52224b8076b903f8,583e9f999abf886d84783add39b4f3fe5676c281a97260329001b5a36919ec93,2040,1536,45,5,False,636,512,768,512,results/vtm_noise_validation/sources/0810.png,7151f31d34745faa82afc926c3db20794ecb15ef84a91804dc30ca1d402ac3fe
0815.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0815.png,c8f278e51f2bc9be7a696935b7e386eb4adafde24572d8ecdd4edf8adf4b4108,214c37383aa75056084643a627c8ab9a9aa57b90f793d2d3c8e1dd0bbc44799b,2040,1356,25,6,False,636,422,768,512,results/vtm_noise_validation/sources/0815.png,2d49ca420a4a15eeea73f4fe62d4e96baf7281955fbe4b530bd4b9ffcb638af8
0819.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0819.png,fcbc6cb7e7cdb717e94d8c8eaf659d6b2bfa513aa133c0d2c4a8e2aa96092529,78b4d79a5ab85d7684f68f12db016705a04076ac69f13370d7c7cf15ef2ce08e,2040,1356,3,7,False,636,422,768,512,results/vtm_noise_validation/sources/0819.png,103459e6c000177270c09f63c631abe6dbbd1dd3f53ed9254217785f818c13ad
0820.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0820.png,2617cfc25dd5442cc017bd17aa24ecae4751b1e5ed6013e8adddb727617bcd5b,c82f469397da3ec3cff5023e4db87c1876af654a6b98e3af36d48ad6a47845ab,2040,1356,29,8,False,636,422,768,512,results/vtm_noise_validation/sources/0820.png,179015d765bb51921d0e858b6e29d2c2c56f4558cf09858541c51e8db82963bc
0824.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0824.png,484316545f6b08655d30faa1bc5f29eb6821d049b62bb528319b504790c188e2,3ebb37f64bb61696d05757b8a72b2fb973d659923c9f0bd63d6d3578db98da03,2040,1356,20,9,False,636,422,768,512,results/vtm_noise_validation/sources/0824.png,9cc33d590aa50a7e2f3fa2a75a01c7057dc3c00928515d06e76d1357a4fbc927
0825.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0825.png,0db87d6f7d6cf3a12fc384d8232c337fe0f509f2518845166c1033e22169115d,665f4ec37c060b01860beb04d20e69114f3db4725491347be8fcc484025e649b,2040,1356,8,10,False,636,422,768,512,results/vtm_noise_validation/sources/0825.png,475c494bec5708c6a3847b42dc4957ed57532dc04f3b3211562de4911c238a8d
0827.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0827.png,e8cfa94ed77a021b63da63406940de3a830fe1217e752b5929d50602a1aaa407,f94391b10b05d923731112dfaf348697a998ab488ad60ea960f60f4de9f29d37,2040,1536,32,11,False,636,512,768,512,results/vtm_noise_validation/sources/0827.png,378830cf9b00885754daef8959496b9a44d53e92812c7ff44f169520b6b41c55
0831.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0831.png,343c5d2665d9c5efd7a5444e72d383f63d96bac35902ed088c9a3ee88e0d4ed2,fcbd747225b24f60c40d832908e4a553b1fdbb247e9a372ff110b9f9b0fa0c39,2040,1356,43,12,False,636,422,768,512,results/vtm_noise_validation/sources/0831.png,e9802403d1751bda58fac1a69392e7d3d4fb55569e94c2895994665ca575cc26
0832.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0832.png,5c609d644b5924900e82dbecadfb85497b77d6cfad52a0c4c7e43a83f9868c33,4654a3c49869b3c63e054c6a1a76fc5529d63b0b8a56f2f5c4de5489bec77b9d,2040,1356,2,13,True,636,422,768,512,results/vtm_noise_validation/sources/0832.png,c9fd9a322335d63d8f34b76b81f02d05e26cfd9ff561893dfdbf94b775f0928e
0833.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0833.png,2e9668b3a318284ec90c9bbdd940317ecd2f7b95314e68c48c94d2380fad679a,477fe29fcd184ec80aadbe000e5748068303084f325aa5ca9fb6033258bcd499,2040,1548,26,14,False,636,518,768,512,results/vtm_noise_validation/sources/0833.png,800df51268656e796f05808f1c1fa6b0643c57fb5ed3bf83f5da01d2e82e4dcd
0835.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0835.png,263cfd9c7d2eee15b29250e6d0dc366ed680feb222de3f8c2fb5c6bd304608e4,b92ea62e6d9c58b847d7f9357bde01598193d4f8c4b1e80d69383135659aaa52,1620,2040,22,15,False,426,764,768,512,results/vtm_noise_validation/sources/0835.png,c6c719060705138bc88c80e1856185e942fb3be5356fdc8ccbcfb8b392322fd6
0837.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0837.png,4618bd32e1d1a2ef0f4ad3f6b941e3745a97371fd300dad3c5c4c9013caec8db,eaf46bb8242eba79510fc4ccdabd23ec76d4a53e8d5e84439c916885e511a31d,2040,1356,14,16,False,636,422,768,512,results/vtm_noise_validation/sources/0837.png,c3f1b83cecb7e78c844bc657572f511d1e0d59ef0e97784b272393f87356aca3
0838.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0838.png,01e42bb5efb35d97a9931fc421f793e3c12d0922a3df288bbfd148b6a82a145b,6545b3656460c95fb9dd7e60feef5bfd38388564c60ef73309accf73e89d1803,2040,1356,13,17,False,636,422,768,512,results/vtm_noise_validation/sources/0838.png,d77e6c99551e76353b747ce72c3a87e868ff6107c77950b6a55ab6f610435ead
0839.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0839.png,818abf16ba0aacc3fb6737c5ddd7c2188ca7321b6b28b7f4ba1898627387dee7,20ad9a8bc16e6c82dbf4389004a739eab3cad9560a67a00ac2679b212db50820,2040,1356,47,18,False,636,422,768,512,results/vtm_noise_validation/sources/0839.png,ab39762643b74ec487ae64836a4ba304b8d07d2ea4848c767c3a1f6953d26789
0843.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0843.png,3ef88e17c711156a52ef8c7385f01b364ade64bb0d90938debfc4b454e0d1e06,4549c5693596f6ba0df4a468c88d444a7eb7a352036cd7dea77f321599bdb904,2040,1356,10,19,False,636,422,768,512,results/vtm_noise_validation/sources/0843.png,4bd8556cb805429da30df8386db6da467cf1ffed25f67b7d819c69d26c064cef
0845.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0845.png,35416e153d4ffd1f83df1502dca371db2059e818b72c1e3a95fb9a9266b59172,f0bd340e3c04aa873169128b8f5faa68d4b4052dbc87456735adccd719f26b45,2040,1356,36,20,False,636,422,768,512,results/vtm_noise_validation/sources/0845.png,d1feaec5f465a16d17d1dcdf254e9c071b17aa363efc2dc7cee188853edcc983
0848.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0848.png,4a8f2f4eee348242b17eb7ee72aad9c1c1fe870a1d414db4704819fede40b660,31e305b16e6842ea6da53172d20a773705180148bc115eab5c4e0739742417b2,2040,1536,38,21,False,636,512,768,512,results/vtm_noise_validation/sources/0848.png,94d1ced916cd17591becabb0b3ad9d468714e44daad51fc912731c6c25150b81
0850.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0850.png,1d026bda033ce6fa0db97aa3ec120f3609663f4d0aaf2f9d8e677fdbe235ab03,e85115b0a152269f4325a39657713c5ad250ac99deb3ecec13299eccdfc4c356,2040,1356,12,22,False,636,422,768,512,results/vtm_noise_validation/sources/0850.png,19c99b385e129c21dae2d61e1894f9bc938f7f58ee02be4bb1605db4ff989e7a
0852.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0852.png,47f4db4100055a954606d789dfe183612ea7e196a06b2e7bc4bd39c3522628ee,65a977a20c50015a89e7032bd4f93e22490d580692a21a34d03448a91612deec,2040,1152,24,23,False,636,320,768,512,results/vtm_noise_validation/sources/0852.png,546d7a54b41b3503e8fac4b311ea38ed602bc6cf83074f8648915f3b0b1600b7
0854.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0854.png,f77817c7a5d940baf174efa61d2fbf40354a08ade7a151e155ce62bd2481eca8,456775f7609071ee832d12fa9559d522f526f7cb28d3ac5b778c854ea101ccb5,2040,1068,37,24,False,636,278,768,512,results/vtm_noise_validation/sources/0854.png,5dbe58ef7f9aaf57a9bec75b9287af3a8df02a3ce39246f73d971832cfd3010f
0861.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0861.png,c6fe192a3f1b702948e99c483f04edfb362d2d218082a12457a5b0f09219ffc6,2f50207908e930b8aa9d1f99a3afd766593514d9e10b20593b5e9ba694a4685b,2040,1356,41,25,False,636,422,768,512,results/vtm_noise_validation/sources/0861.png,5084e24ea91b5b8024c8aeed3cec7fbdb4934be43d5e54bbc2008096150e68e3
0862.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0862.png,31a02d7392ee9dadd4b8a2c1b5b9d670943135d0d40e85d4178ab77923c75548,34e0227cac6e6c3c9e220497b45624726ae6ead08ad8b87ed89dfbc927cae7a0,2040,1356,15,26,False,636,422,768,512,results/vtm_noise_validation/sources/0862.png,00c124fd26c9d5a321a02d65e3f14ed2b1cbf401c9ad78017bbaa45aca12adfc
0864.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0864.png,ca9811dd5910f947ee4dc75f709dcffe17bb7811ca562a0e4bcdefc781eadd76,fb72107f3eaf84a5d198060b7f0f4096ccf439cb8f03f9646d77803a7aebfb55,2040,1356,5,27,False,636,422,768,512,results/vtm_noise_validation/sources/0864.png,e7333a0e85e7a4978a7bb4e048cba1f4204adb46d08b6f2db041ee194e241ad3
0865.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0865.png,46ced1e049fce5a0381c3dc7d7276d058f78a7a7dab5cd88ef7a224cbf51fdb1,1c30f06b7bd42c52e448b0a118617f8c29ef84224cd55cc9ea6c5bbddeb346d2,2040,1536,16,28,False,636,512,768,512,results/vtm_noise_validation/sources/0865.png,1d4f2b88e397c3b929b461d4458e00324fa71c5928bd1cb600d8c1241584be0a
0868.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0868.png,ba7de4237fa7cbdc2fff31f35015711909e501230e7c2f3f01f4e8dcf7a23c95,fd86d9694622e8764dcf0061054e839200eb858a60424f75d3c67d0550d259ba,2040,1356,6,29,False,636,422,768,512,results/vtm_noise_validation/sources/0868.png,46a18f1b41a1374d03fa9a183b5ee3bd24c5050f5072a8a4b1d741c6c93c02f0
0870.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0870.png,f03f496bb0f21d53012723782bfdbcbbde66115c45c35aa7d83373c304a9c041,2f7d034cc47595b3d2bda1506304931584caaed76f36b8cc8f24f747fff66377,2040,1572,27,30,False,636,530,768,512,results/vtm_noise_validation/sources/0870.png,574461ba2ec1090fe590a968ef3491debd4f6711f02d0de52631ebb35222da5b
0873.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0873.png,3fcb2ae160dd255180854eaf54051c40cd205421367d0352144bb7490bc9afb1,a3634db89947e26b14b89d60cf0b799bbd430b55a2589e052fb61db22ff84d2d,2040,1356,21,31,False,636,422,768,512,results/vtm_noise_validation/sources/0873.png,0deda35195d87f2f663124bc61c235518e7d4abbe1ca951c59f019d1c76ccfef
0874.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0874.png,11cb511247d70d84adad5557a720254e5f73e3786dbcd399c6053a1982ce1784,b0c8139a5f5918b9482e2ea142c766555801b5ae283477c8671c97c5e2a8d36f,2040,1356,18,32,False,636,422,768,512,results/vtm_noise_validation/sources/0874.png,c5954e2f77c776e14876a63241433b0792067b64b9693296ebed20c831a5e59a
0875.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0875.png,3c4859b59635fe7fcd6ec182c798eb3af44a2eafb6e8b891df3db62d0da3c5e2,c854ef0af3e48a8aaceaa0b3bf4e10eeb856dbd2d6b1a45154c035124620d83f,2040,1536,11,33,False,636,512,768,512,results/vtm_noise_validation/sources/0875.png,af27131b48ad3ec0b94b76eab33d20a10d08c2c5226978df22fac0bb0bbf847f
0876.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0876.png,9d5a819847876bb0061bf1fd42b8bd97e8aef89d1f5fb09b1669b7e9546a25f1,5c058c7699442fc7f4e04ae47532009ec4660b1515851f2cffe0fb6405b690ea,2040,1356,42,34,False,636,422,768,512,results/vtm_noise_validation/sources/0876.png,4cd95e04fc6fb7cf87de2805c11f13fcfc6957d0ad648557c988c7e5c0afbc4d
0877.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0877.png,4e0fb583729accf7b93e07b2b81ce8d919f6490cee2d1f90db90b60095a59165,2d14b73bdaef4fc6802455a4ac579b8ee70ff0a56624e197768249ca264eb830,2040,1152,35,35,False,636,320,768,512,results/vtm_noise_validation/sources/0877.png,5efe0a647a0b31624fcf5c5ebddc7407d7437107ec090b3367aa021def579155
0879.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0879.png,ad5eb9637c891994c00f44358cf0a5238f642b8796b5cacaa8b59ba8bb51553a,524e3e603a60674254eb24a1db63f944d449d8194d09b09c40214585baaa3af1,2040,1872,9,36,False,636,680,768,512,results/vtm_noise_validation/sources/0879.png,81863504b48d8b9920fc4e53b8bf4cdcb6d44f625411d423c7d09e6137b4d086
0880.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0880.png,db5773c6e460824c5132c23917492fda7acd370c87e9ae6293a0103fee2b642d,46129bae440591a91cf3c295eb34d0cb7e1bfceff91882d927e78cbad2ef99df,1356,2040,17,37,False,294,764,768,512,results/vtm_noise_validation/sources/0880.png,e1e37e5e44e41bcac660da4974bf8f3ba20c67777a307ff11220f7c25fad9e8e
0882.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0882.png,573345fb42061a43fe8f1c0b3b9faf57cdd77189782a4d89b78c31e421f19115,82aabe61ef92210e1597bf723d2b5eab42125a73c1e3a0d0b71296de827101b7,2040,1356,1,38,True,636,422,768,512,results/vtm_noise_validation/sources/0882.png,7dae3780369487220aa94e86e963180e2f98cd5cf54a605942d8cd552645dbec
0883.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0883.png,3355621b3d834c320a66879e6cd23988df29f504f6cdecd22f1984b432a7e55a,3bea7c0821128dc09e1062e06361793200d5d9ecfe4b524a76015a072e013a68,2040,1380,44,39,False,636,434,768,512,results/vtm_noise_validation/sources/0883.png,47023de15d9640be57c7338e889e99af50779549b284c1e15bb4581c58177a95
0886.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0886.png,26af6bcdeea90b9900a021bf20a0550d9a1e107c59b4f05c96e8bccf0ab35db8,71ab1d1d9cde723b486bcf92778c8165992618c4dc38dad5ce5072c23b9f4c72,2040,1356,34,40,False,636,422,768,512,results/vtm_noise_validation/sources/0886.png,b96387ddfd487d9a71e2a528a1f18f9e41eeddd44119e5f3a7e5ed4f68c634f8
0889.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0889.png,a8f73c42065e3193c4deb883dcb3bc432a3f838e9be5bacea708ee39eb2c6e04,e89e9eae0ed9534bff13fc72ab159dd4f01c9644f47af197e88efe83daa19e0f,2040,1356,28,41,False,636,422,768,512,results/vtm_noise_validation/sources/0889.png,6ab1cfddebd6142bb73bdae7980d0a48416cfaa75666a58a8476b616ed7a8bf4
0891.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0891.png,8e36e76f3675831c87b2e645e70ef33513b898dc09beb20b0bdcc61cc6d63bed,bb22dd9be2576019acaed23233f90028ab29e3b738876ad53a2237ddef99a42a,1668,2040,46,42,False,450,764,768,512,results/vtm_noise_validation/sources/0891.png,7f2eb02a190e287538efe80c8d5e7a870ce10ae7496b3a89270ce56d753ac351
0892.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0892.png,7fb05e491f00963e64b53a0f3f7a3d1af51f1434e7fd4898d4b84c479e1f66f9,bb83be8f3d6aa615b819f1a6fc467868c5e72f7e457b968da84fac35d3c8ce6b,2040,1284,30,43,False,636,386,768,512,results/vtm_noise_validation/sources/0892.png,88bc09c5d553d90b31aeafd28ba72a79156395b0f15fe2c3be7998b064c2bf4b
0894.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0894.png,f412ff02984a0de7acc7e1209d02f8dcaa18ac76008fa260cf7c355e4a77976c,3f771f56f2d668556b84b94dfa36836df59a4af34f39f2162623774001175a14,1356,2040,23,44,False,294,764,768,512,results/vtm_noise_validation/sources/0894.png,48a5637ab17045000c0593a9722528b956f995815b4b99ac54c6c700e549c737
0895.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0895.png,a1c0888648fed4eb909c6e7f5f5db220ae98861294ebfdfa14b2c72567e96b2b,116aa0f5bbb7e794807f6cc7c3867f00dcbf73cd0141ad58e0ebd3c7370b67f5,2040,1284,33,45,False,636,386,768,512,results/vtm_noise_validation/sources/0895.png,2ae688c56ac1414d47348f543dfd7328d056082be1c40ef58ddb5f327e163f95
0896.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0896.png,367c698aa344cea6e790239f04bae168ef204ae771f6ea05285e5255fad2f84f,d89bb601a7a0e69c8f2ffabfe569610c79332cba767c2980f61aacaf754e1314,2040,1356,19,46,False,636,422,768,512,results/vtm_noise_validation/sources/0896.png,f2bcbef90a0f48a42f261df61300717a403cc34c53caa15364e4489307b49519
0900.png,results/vtm_noise_validation/input/DIV2K_valid_HR/0900.png,06717f2a8f5d21fcec9a9229a7ecaab44dec0343406a59464382f5c4fdea3023,0f6b7897c8e69b29b525f8ae162c89a01a4351711465e887ac211c4bfd4a38db,2040,1152,40,47,False,636,320,768,512,results/vtm_noise_validation/sources/0900.png,f7fe7cbce8408724e75e30dfc82212b558132f50f18caddf2eda6033c261392e
