dataset,source,stimulus,distortion,level,seed,derived_seed,actual_luma_rms,path,width,height,sha256,source_sobel_si,stimulus_sobel_si,sobel_si,luma_sd,edge_fraction,glcm_contrast,glcm_entropy,glcm_homogeneity
div2k_validation,0801.png,0801_94c73baf65fc__clean_0,clean,0,,,0.0,results/vtm_noise_validation/stimuli/0801_94c73baf65fc__clean_0.png,768,512,94c73baf65fcbe611b84d239cc9c8f1ad3c37b2f79cf39cd133adfbbf3e0b237,53.63888293966631,53.63888293966631,53.63888293966631,67.15838406862792,0.20473045615112886,0.17533301757055875,2.519396842586233,0.9216967511440682
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260811,awgn,30,20260811,1113627816953926884,28.501873244801434,results/vtm_noise_validation/stimuli/0801_94c73baf65fc__awgn_30_seed-20260811.png,768,512,7308e26e821c20c5d4b5b63c20738dcf99d05142675eeacedcc40a87cff2bb9b,53.63888293966631,76.40962488375607,76.40962488375607,71.47355504975151,0.8546024676189014,1.6665195233797674,3.580702943530522,0.5904459007828918
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260812,awgn,30,20260812,13393917567101287228,28.58226356691723,results/vtm_noise_validation/stimuli/0801_94c73baf65fc__awgn_30_seed-20260812.png,768,512,0f52cc21b085fb2f25aa64f1a1a51dd63b5e74a74b637abc5798151c7f708aa6,53.63888293966631,76.7038189821274,76.7038189821274,71.58717363537254,0.8561613679414325,1.6723449386908535,3.5820277469611477,0.5900325756162785
div2k_validation,0801.png,0801_94c73baf65fc__awgn_30_seed-20260813,awgn,30,20260813,1797184094092325255,28.505641133578468,results/vtm_noise_validation/stimuli/0801_94c73baf65fc__awgn_30_seed-20260813.png,768,512,34799a49cc9845b4ea7533330b27c56966965b7cbbe0567b9cb53d7c4f3abad0,53.63888293966631,76.50893408964822,76.50893408964822,71.46123588885197,0.8553627195003328,1.6705862406650867,3.581573228059734,0.5898424349207243
div2k_validation,0802.png,0802_f1e7268d4de3__clean_0,clean,0,,,0.0,results/vtm_noise_validation/stimuli/0802_f1e7268d4de3__clean_0.png,768,512,f1e7268d4de3eeeada79ea3718d593d60b474cd54280be7732f2badd1920f85c,43.16098211014557,43.16098211014557,43.16098211014557,57.2747501843428,0.18815338145702146,0.16079848125836127,2.414289522293782,0.9251321223293419
div2k_validation,0802.png,0802_f1e7268d4de3__awgn_30_seed-20260811,awgn,30,20260811,934317093076501681,27.74934033592107,results/vtm_noise_validation/stimuli/0802_f1e7268d4de3__awgn_30_seed-20260811.png,768,512,ce27467c0ba06bc659fb01d858c554f4ea85d2a1c82a14c2914b3e3446eeedf1,43.16098211014557,71.10560551623723,71.10560551623723,61.87671434096515,0.8423949214150412,1.6338054453911224,3.5023805118995117,0.5948955192882359
div2k_validation,0802.png,0802_f1e7268d4de3__awgn_30_seed-20260812,awgn,30,20260812,7034858839499626460,27.752770454562654,results/vtm_noise_validation/stimuli/0802_f1e7268d4de3__awgn_30_seed-20260812.png,768,512,c0fe051e4f9f372937d183e28b68990083ee7faafd084efea6237a17307828f2,43.16098211014557,71.2721415598555,71.2721415598555,61.86159077105956,0.8423258076076383,1.6343870104103941,3.5014097165715556,0.5950130528405168
div2k_validation,0802.png,0802_f1e7268d4de3__awgn_30_seed-20260813,awgn,30,20260813,13102803655524182236,27.754452826397216,results/vtm_noise_validation/stimuli/0802_f1e7268d4de3__awgn_30_seed-20260813.png,768,512,0129a5d7660eeadf8b05b73a1d80f2d058400095a9f2c40901a554ad25a8be2c,43.16098211014557,70.95937198453272,70.95937198453272,61.81916480154137,0.8415194798546051,1.6308092932107074,3.500670325468775,0.5954209131090737
div2k_validation,0803.png,0803_5b5318eeb6b7__clean_0,clean,0,,,0.0,results/vtm_noise_validation/stimuli/0803_5b5318eeb6b7__clean_0.png,768,512,5b5318eeb6b7db9790b9df892da3e00c5fd8f71b77253a49ea3e215a0329d2d0,61.5840732703981,61.5840732703981,61.5840732703981,51.27072381800005,0.1716351814877387,0.16490511530778013,2.334366031146737,0.9328668957521993
div2k_validation,0803.png,0803_5b5318eeb6b7__awgn_30_seed-20260811,awgn,30,20260811,1808323285496121409,28.39009797204198,results/vtm_noise_validation/stimuli/0803_5b5318eeb6b7__awgn_30_seed-20260811.png,768,512,7770f6178c2317b7c1c843c4c5df7ecae740ec2c628512171701400b36720fa2,61.5840732703981,78.41524120126323,78.41524120126323,57.34292942970372,0.8561229713817642,1.7739165028302806,3.535939840785061,0.5737336993083113
