feature,qp,omitted_sources,n_images_full,n_images_reduced,rho_full,rho_omitted,rho_change,difference_from_sobel_full,difference_from_sobel_omitted,leave_one_out_difference_min,leave_one_out_difference_max
sobel_si,22,kodim02.png;kodim08.png,24,22,0.5539130434782609,0.6002258610954264,0.04631281761716555,,,,
luma_sd,22,kodim02.png;kodim08.png,24,22,0.11130434782608695,0.09881422924901187,-0.012490118577075077,-0.4426086956521739,-0.5014116318464146,-0.5434782608695651,-0.3468379446640315
edge_fraction,22,kodim02.png;kodim08.png,24,22,0.7869565217391303,0.8565782044042916,0.06962168266516122,0.23304347826086946,0.25635234330886514,0.20158102766798425,0.2717391304347826
glcm_contrast,22,kodim02.png;kodim08.png,24,22,0.6347826086956522,0.7052512704686619,0.0704686617730097,0.0808695652173913,0.10502540937323546,0.05731225296442688,0.09387351778656128
glcm_entropy,22,kodim02.png;kodim08.png,24,22,0.6704347826086956,0.7504234895539245,0.07998870694522886,0.11652173913043473,0.15019762845849804,0.06620553359683812,0.14525691699604748
glcm_homogeneity,22,kodim02.png;kodim08.png,24,22,-0.7139130434782609,-0.7910784867306607,-0.07716544325239982,0.16000000000000003,0.1908526256352343,0.1166007905138341,0.18873517786561256
sobel_si,27,kodim02.png;kodim08.png,24,22,0.6182608695652173,0.6171654432523999,-0.001095426312817449,,,,
luma_sd,27,kodim02.png;kodim08.png,24,22,0.14608695652173914,0.09768492377188029,-0.04840203274985885,-0.47217391304347817,-0.5194805194805195,-0.5741106719367588,-0.37549407114624495
edge_fraction,27,kodim02.png;kodim08.png,24,22,0.8208695652173914,0.8430265386787127,0.022156973461321283,0.2026086956521741,0.22586109542631283,0.17094861660079053,0.23715415019762842
glcm_contrast,27,kodim02.png;kodim08.png,24,22,0.6817391304347826,0.6984754376058724,0.01673630717108976,0.06347826086956532,0.08130999435347253,0.045454545454545636,0.0800395256916997
glcm_entropy,27,kodim02.png;kodim08.png,24,22,0.7086956521739131,0.7368718238283457,0.028176171654432647,0.09043478260869575,0.11970638057594585,0.04051383399209485,0.12351778656126478
glcm_homogeneity,27,kodim02.png;kodim08.png,24,22,-0.7521739130434784,-0.7763975155279503,-0.024223602484471973,0.13391304347826105,0.15923207227555047,0.08992094861660083,0.15909090909090895
sobel_si,32,kodim02.png;kodim08.png,24,22,0.7095652173913043,0.6792772444946359,-0.030287972896668403,,,,
luma_sd,32,kodim02.png;kodim08.png,24,22,0.19043478260869562,0.09994353472614344,-0.09049124788255218,-0.5191304347826087,-0.5793337097684924,-0.6067193675889326,-0.40513833992094855
edge_fraction,32,kodim02.png;kodim08.png,24,22,0.8660869565217392,0.8599661208356861,-0.006120835686053039,0.15652173913043488,0.18068887634105024,0.1254940711462451,0.183794466403162
glcm_contrast,32,kodim02.png;kodim08.png,24,22,0.7643478260869565,0.7470355731225299,-0.017312252964426622,0.05478260869565221,0.067758328627894,0.038537549407114624,0.06818181818181812
glcm_entropy,32,kodim02.png;kodim08.png,24,22,0.7434782608695651,0.7210615471485038,-0.022416713721061354,0.03391304347826085,0.0417843026538679,-0.009881422924901129,0.07114624505928846
glcm_homogeneity,32,kodim02.png;kodim08.png,24,22,-0.8052173913043477,-0.7910784867306607,0.014138904573686939,0.09565217391304337,0.11180124223602483,0.05335968379446643,0.11956521739130432
sobel_si,37,kodim02.png;kodim08.png,24,22,0.7826086956521738,0.743647656691135,-0.03896103896103886,,,,
luma_sd,37,kodim02.png;kodim08.png,24,22,0.21565217391304348,0.08187464709203841,-0.13377752682100508,-0.5669565217391304,-0.6617730095990966,-0.6185770750988142,-0.4594861660079052
edge_fraction,37,kodim02.png;kodim08.png,24,22,0.8965217391304348,0.8836815358554491,-0.012840203274985695,0.11391304347826092,0.1400338791643141,0.07707509881422903,0.13537549407114635
glcm_contrast,37,kodim02.png;kodim08.png,24,22,0.8304347826086956,0.8012422360248449,-0.02919254658385073,0.047826086956521796,0.05759457933370993,0.03162055335968372,0.05830039525691677
glcm_entropy,37,kodim02.png;kodim08.png,24,22,0.7678260869565217,0.7289666854884248,-0.038859401468096855,-0.014782608695652177,-0.014680971202710169,-0.03952569169960474,0.012845849802371356
glcm_homogeneity,37,kodim02.png;kodim08.png,24,22,-0.8382608695652174,-0.811405985319029,0.026854884246188426,0.05565217391304356,0.067758328627894,0.01778656126482192,0.08102766798418948
