dataset,source,stimulus,distortion,level,seed,derived_seed,actual_luma_rms,path,image_sha256,yuv_sha256,source_sobel_si,stimulus_sobel_si,qp,mode,conversion,encoder_sha256,config_sha256,encode_seconds,bitstream_bytes,bitstream_sha256,trace_sha256,partition_csv_sha256,reconstruction_sha256,decoded_sha256,reconstruction_verified,cu_count,source_area,coded_width,coded_height,coded_area,padding_area,cu_density_per_mpixel,min_area,max_area,mean_area,median_area,geometric_mean_area,q1_area,q3_area,p10_area,p90_area,mean_equivalent_side,share_area_le_64,share_area_le_256,size_histogram_json,dominant_sizes,artifact_run,cu_coverage_verified,width,height,sha256,sobel_si,luma_sd,edge_fraction,glcm_contrast,glcm_entropy,glcm_homogeneity,glcm_contrast_levels32,glcm_entropy_levels32,glcm_homogeneity_levels32,glcm_contrast_horizontal,glcm_entropy_horizontal,glcm_homogeneity_horizontal,analyses,trace_rule,protocol_sha256,manifest_sha256,job_plan_sha256,decoder_sha256,encoder_config_sha256,encoder_log_sha256,decoder_log_sha256
kodak,kodim01.png,kodim01_a56e27cbf5f8__awgn_15_seed-20260811,awgn,15,20260811,1113627816953926884,14.949935440043156,results/vtm_content_partition_study/stimuli/kodim01_a56e27cbf5f8__awgn_15_seed-20260811.png,55b9df4387ab4db231c0d203fdc07fe616f7b8dc80e0b25eb4b14725e8391c1b,85c0b69b6b7f7a139ffd51f36d60b76a399a75c3fbf4720074b566f0b6de34af,110.23951076191508,105.83916938564239,22,baseline,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,214.40382469999895,177134,eaa8b5b140fe6e4f486cf7e80c7d468e7968107bedabf8e3e1576102d3ef62ed,29bb291a12f1fd113a79d6f509493656775ac1778ee345abedf122767facbef4,b3355319bed2d67da125dbaa1ba58cfce77f37f4168f4a8c9363634742b35c05,2cc6cab48c4733e2ccd910c6205e9b9204f822e902100c922329b1b512694701,2cc6cab48c4733e2ccd910c6205e9b9204f822e902100c922329b1b512694701,True,6439,393216,768,512,393216,0,16375.223795572916,16,512,61.067867681316976,64.0,47.883501475769975,32.0,64.0,16.0,128.0,7.347687282282524,0.8234197856810064,0.9984469638142569,"{""4x4"":902,""4x8"":1024,""4x16"":430,""4x32"":32,""8x4"":1163,""8x8"":1139,""8x16"":367,""8x32"":20,""16x4"":644,""16x8"":518,""16x16"":88,""16x32"":2,""32x4"":71,""32x8"":31,""32x16"":8}",8x4:1163; 8x8:1139; 4x8:1024; 4x4:902; 16x4:644; 16x8:518,results/vtm_content_partition_task2_completion/run,True,768,512,55b9df4387ab4db231c0d203fdc07fe616f7b8dc80e0b25eb4b14725e8391c1b,105.83916938564239,42.58718864501944,0.7582194235396509,1.1804060603071251,3.074796207890847,0.6613436132859136,16.49857935903522,5.743852796383035,0.2886648997696147,0.9536011856258148,2.994928440623057,0.6889990333366305,,,,,,,,,
kodak,kodim01.png,kodim01_a56e27cbf5f8__awgn_15_seed-20260811,awgn,15,20260811,1113627816953926884,14.949935440043156,results/vtm_content_partition_study/stimuli/kodim01_a56e27cbf5f8__awgn_15_seed-20260811.png,55b9df4387ab4db231c0d203fdc07fe616f7b8dc80e0b25eb4b14725e8391c1b,85c0b69b6b7f7a139ffd51f36d60b76a399a75c3fbf4720074b566f0b6de34af,110.23951076191508,105.83916938564239,27,baseline,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,343.9448354999986,130605,462fa57ae57ef9d6aaaff2e9751f63aee10f5c49b2e02e2f9888990642c07308,1cc60d31ecfc90561235efdfa95a6a0e92d145466c4f1b51f0d9b857c0b12e41,09e3c7baefa5afcb55169189f78607ff0ce25b45562910121e86c32b5e704698,f697bc62878691ad0797fb5b59f491bf1278763b4481f8e483e6d4991fc49b68,f697bc62878691ad0797fb5b59f491bf1278763b4481f8e483e6d4991fc49b68,True,5377,393216,768,512,393216,0,13674.418131510416,16,512,73.12925423098382,64.0,56.776699404048664,32.0,128.0,32.0,128.0,8.025113479682203,0.7427933792077367,0.9964664310954063,"{""4x4"":502,""4x8"":637,""4x16"":379,""4x32"":67,""8x4"":922,""8x8"":857,""8x16"":343,""8x32"":29,""16x4"":697,""16x8"":608,""16x16"":122,""16x32"":6,""32x4"":133,""32x8"":62,""32x16"":13}",8x4:922; 8x8:857; 16x4:697; 4x8:637; 16x8:608; 4x4:502,results/vtm_content_partition_four_qp,True,768,512,55b9df4387ab4db231c0d203fdc07fe616f7b8dc80e0b25eb4b14725e8391c1b,105.83916938564239,42.58718864501944,0.7582194235396509,1.1804060603071251,3.074796207890847,0.6613436132859136,16.49857935903522,5.743852796383035,0.2886648997696147,0.9536011856258148,2.994928440623057,0.6889990333366305,awgn_realizations;interference_qp,D_QP:poc==0,45a8536f0065c46f74ccd88b11094dbc33c70f22601caa24ab4a02e73afd2e4d,676a0aaa34a829f824520658b8a725caacfe9c5719e50f8afe9c02482c37efbb,ff779f2daa327ba2314973a58d2e881ee222517f6b8aa19c366ed43842a809f7,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,16ee33a1538dc955f512e09d460af46ebabc35132372548b708e86b1a4112186,d7c9dc5203412487909f82a1060070f218dafde7eaf80696f57d8eeed2564235
kodak,kodim01.png,kodim01_a56e27cbf5f8__awgn_15_seed-20260811,awgn,15,20260811,1113627816953926884,14.949935440043156,results/vtm_content_partition_study/stimuli/kodim01_a56e27cbf5f8__awgn_15_seed-20260811.png,55b9df4387ab4db231c0d203fdc07fe616f7b8dc80e0b25eb4b14725e8391c1b,85c0b69b6b7f7a139ffd51f36d60b76a399a75c3fbf4720074b566f0b6de34af,110.23951076191508,105.83916938564239,32,baseline,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,166.11304259999815,86920,6659973dffa761ba84e6b1134999baa22082ca0723c3c29e9005b738fa818577,ba08f29ee47fc53b2b10c68696b366a84165225935c839455ffbefba05100822,2b2bcf22365dfd7bf390112cc56051521efbad3dca99fb35ab9638d016a9326c,adeeee0c93681c69ce645303e355a186e69b0e85656f8b500c691271dd901806,adeeee0c93681c69ce645303e355a186e69b0e85656f8b500c691271dd901806,True,5272,393216,768,512,393216,0,13407.389322916666,16,512,74.58573596358119,64.0,59.621541046453295,32.0,128.0,32.0,128.0,8.162933688735993,0.7378603945371776,0.9967754172989378,"{""4x4"":328,""4x8"":647,""4x16"":444,""4x32"":36,""8x4"":841,""8x8"":876,""8x16"":388,""8x32"":17,""16x4"":754,""16x8"":610,""16x16"":128,""16x32"":4,""32x4"":142,""32x8"":44,""32x16"":13}",8x8:876; 8x4:841; 16x4:754; 4x8:647; 16x8:610; 4x16:444,results/vtm_content_partition_task2_completion/run,True,768,512,55b9df4387ab4db231c0d203fdc07fe616f7b8dc80e0b25eb4b14725e8391c1b,105.83916938564239,42.58718864501944,0.7582194235396509,1.1804060603071251,3.074796207890847,0.6613436132859136,16.49857935903522,5.743852796383035,0.2886648997696147,0.9536011856258148,2.994928440623057,0.6889990333366305,,,,,,,,,
kodak,kodim01.png,kodim01_a56e27cbf5f8__awgn_15_seed-20260811,awgn,15,20260811,1113627816953926884,14.949935440043156,results/vtm_content_partition_study/stimuli/kodim01_a56e27cbf5f8__awgn_15_seed-20260811.png,55b9df4387ab4db231c0d203fdc07fe616f7b8dc80e0b25eb4b14725e8391c1b,85c0b69b6b7f7a139ffd51f36d60b76a399a75c3fbf4720074b566f0b6de34af,110.23951076191508,105.83916938564239,37,baseline,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,139.107740200001,37817,0925ebbaf631b5c8a6ec0db395fdcedef8a531bf61534f4df284da0b05ff07e6,85efbe96c766682f9c2b97a558de5686c5797697a7053f6b19fa20eb8cfb1d3e,a4b76e178b47c1a332155975d64a214d43b3c9af9e1595f6d2fea6d5da3a0412,747068c1d2e3bbdc096a0a50162917a26b37a9370b37bb5a4c40bd19d9b976d5,747068c1d2e3bbdc096a0a50162917a26b37a9370b37bb5a4c40bd19d9b976d5,True,4769,393216,768,512,393216,0,12128.194173177084,16,1024,82.45250576640805,64.0,64.9747605477893,32.0,128.0,32.0,128.0,8.548799253120352,0.6907108408471377,0.9941287481652338,"{""4x4"":252,""4x8"":440,""4x16"":403,""4x32"":100,""8x4"":726,""8x8"":773,""8x16"":344,""8x32"":42,""16x4"":700,""16x8"":557,""16x16"":111,""16x32"":14,""32x4"":206,""32x8"":87,""32x16"":11,""32x32"":3}",8x8:773; 8x4:726; 16x4:700; 16x8:557; 4x8:440; 4x16:403,results/vtm_content_partition_task2_completion/run,True,768,512,55b9df4387ab4db231c0d203fdc07fe616f7b8dc80e0b25eb4b14725e8391c1b,105.83916938564239,42.58718864501944,0.7582194235396509,1.1804060603071251,3.074796207890847,0.6613436132859136,16.49857935903522,5.743852796383035,0.2886648997696147,0.9536011856258148,2.994928440623057,0.6889990333366305,,,,,,,,,
kodak,kodim01.png,kodim01_a56e27cbf5f8__awgn_15_seed-20260812,awgn,15,20260812,13393917567101287228,14.987601178538014,results/vtm_content_partition_study/stimuli/kodim01_a56e27cbf5f8__awgn_15_seed-20260812.png,48b8aa697fd7542986637cf02ad9db50602c40b65899e1e998057aa349033341,b39730f6b9831a534857730e076ea6ad15ce07ff0344098e179eb5e0e1687334,110.23951076191508,105.77481329738593,22,baseline,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,399.4088284999998,177159,003a0aa66b2a2d95fc35c44db25ebffe1758985c9fe44caba76d706762ce6f88,c66cfa0256d751d93bf43bf68dfd5ed51f6c3348b093bc95ad81968cc631d82f,3bf48c71b4ecc579f203c6761c880b75b9de20c1b8c0d5b221e0c574bf62742c,7450dc4edc7b7793181980050f72a565b1dbb7547e5d2ff209dc3eecc6129d25,7450dc4edc7b7793181980050f72a565b1dbb7547e5d2ff209dc3eecc6129d25,True,6245,393216,768,512,393216,0,15881.856282552084,16,512,62.964931945556444,64.0,48.75661357139632,32.0,64.0,16.0,128.0,7.4346229258487515,0.8148919135308247,0.9980784627702162,"{""4x4"":848,""4x8"":1044,""4x16"":465,""4x32"":49,""8x4"":1074,""8x8"":1026,""8x16"":353,""8x32"":36,""16x4"":632,""16x8"":471,""16x16"":93,""16x32"":5,""32x4"":88,""32x8"":54,""32x16"":7}",8x4:1074; 4x8:1044; 8x8:1026; 4x4:848; 16x4:632; 16x8:471,results/vtm_content_partition_four_qp,True,768,512,48b8aa697fd7542986637cf02ad9db50602c40b65899e1e998057aa349033341,105.77481329738593,42.627289456954955,0.7601315722111299,1.182358321956877,3.0755928616536767,0.6609708882563186,16.51344430932937,5.744906068585092,0.28821167118830654,0.9542250651890483,2.9956519799981276,0.6886780486194144,awgn_realizations;interference_qp,D_QP:poc==0,45a8536f0065c46f74ccd88b11094dbc33c70f22601caa24ab4a02e73afd2e4d,676a0aaa34a829f824520658b8a725caacfe9c5719e50f8afe9c02482c37efbb,ff779f2daa327ba2314973a58d2e881ee222517f6b8aa19c366ed43842a809f7,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,a5084b903a9b21fc157143db9838954b1eb54ad457d7dda598526bcb35536167,b5582ced1f051b256192f007d863e6deb908ebb98de63341eb7d67b459a0402f
kodak,kodim01.png,kodim01_a56e27cbf5f8__awgn_15_seed-20260812,awgn,15,20260812,13393917567101287228,14.987601178538014,results/vtm_content_partition_study/stimuli/kodim01_a56e27cbf5f8__awgn_15_seed-20260812.png,48b8aa697fd7542986637cf02ad9db50602c40b65899e1e998057aa349033341,b39730f6b9831a534857730e076ea6ad15ce07ff0344098e179eb5e0e1687334,110.23951076191508,105.77481329738593,27,baseline,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,350.09311300000263,131038,565b4e28bed57d62a067de3ea55923f53ff5dabbca113a7a9175c272e960b9c9,37b7579e78e0f72702497f01c0494a28a2393220757e5f824dfaf069071bcabb,b678c42400ba2fcc62b01eadd385409a484b3e6c9d42ca1336cac203a755dead,7952690fefafe920d6f222f5d8b6f6ce62d59b04bacb3ece25c70d4cb9df06b0,7952690fefafe920d6f222f5d8b6f6ce62d59b04bacb3ece25c70d4cb9df06b0,True,5527,393216,768,512,393216,0,14055.887858072916,16,512,71.14456305409806,64.0,55.9420854426024,32.0,64.0,32.0,128.0,7.939880852497303,0.7597249864302515,0.9971051203184368,"{""4x4"":498,""4x8"":670,""4x16"":410,""4x32"":52,""8x4"":957,""8x8"":931,""8x16"":338,""8x32"":24,""16x4"":733,""16x8"":592,""16x16"":113,""16x32"":8,""32x4"":140,""32x8"":53,""32x16"":8}",8x4:957; 8x8:931; 16x4:733; 4x8:670; 16x8:592; 4x4:498,results/vtm_content_partition_four_qp,True,768,512,48b8aa697fd7542986637cf02ad9db50602c40b65899e1e998057aa349033341,105.77481329738593,42.627289456954955,0.7601315722111299,1.182358321956877,3.0755928616536767,0.6609708882563186,16.51344430932937,5.744906068585092,0.28821167118830654,0.9542250651890483,2.9956519799981276,0.6886780486194144,awgn_realizations;interference_qp,D_QP:poc==0,45a8536f0065c46f74ccd88b11094dbc33c70f22601caa24ab4a02e73afd2e4d,676a0aaa34a829f824520658b8a725caacfe9c5719e50f8afe9c02482c37efbb,ff779f2daa327ba2314973a58d2e881ee222517f6b8aa19c366ed43842a809f7,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,05529a806d4f5299b669733b562cd1e1ef23545e9e5a3d8a512bd1b2b10a1e84,e02cafa4b18fbd0032f661e46a513cae6dcb859639349bebd3b2413a25238b48
kodak,kodim01.png,kodim01_a56e27cbf5f8__awgn_15_seed-20260812,awgn,15,20260812,13393917567101287228,14.987601178538014,results/vtm_content_partition_study/stimuli/kodim01_a56e27cbf5f8__awgn_15_seed-20260812.png,48b8aa697fd7542986637cf02ad9db50602c40b65899e1e998057aa349033341,b39730f6b9831a534857730e076ea6ad15ce07ff0344098e179eb5e0e1687334,110.23951076191508,105.77481329738593,32,baseline,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,231.1184534999993,86875,0010429b8d712fc7cf078847b9d7fb100ae8f36842e45b2ffdd55ad2e7e0aa4c,1cfe3e889f1b4ee840afe19a4fcae94d11d93b30d38dbfe9ec76ebb453978e90,4cc873cfdd312b8f3193f90134e98817734284d15a8a3ce85ef5a756bb6ab962,944b285f0c5ff443b8de14d4aaf75cb87ff0e62499533056ab7f9427ed25a24a,944b285f0c5ff443b8de14d4aaf75cb87ff0e62499533056ab7f9427ed25a24a,True,5410,393216,768,512,393216,0,13758.341471354166,16,1024,72.68317929759704,64.0,57.17601879332787,32.0,128.0,32.0,128.0,8.028022869269202,0.744547134935305,0.9970425138632163,"{""4x4"":478,""4x8"":575,""4x16"":412,""4x32"":51,""8x4"":948,""8x8"":852,""8x16"":361,""8x32"":18,""16x4"":763,""16x8"":645,""16x16"":125,""16x32"":8,""32x4"":125,""32x8"":41,""32x16"":7,""32x32"":1}",8x4:948; 8x8:852; 16x4:763; 16x8:645; 4x8:575; 4x4:478,results/vtm_content_partition_task3_completion/run,True,768,512,48b8aa697fd7542986637cf02ad9db50602c40b65899e1e998057aa349033341,105.77481329738593,42.627289456954955,0.7601315722111299,1.182358321956877,3.0755928616536767,0.6609708882563186,16.51344430932937,5.744906068585092,0.28821167118830654,0.9542250651890483,2.9956519799981276,0.6886780486194144,,,,,,,,,
kodak,kodim01.png,kodim01_a56e27cbf5f8__awgn_15_seed-20260812,awgn,15,20260812,13393917567101287228,14.987601178538014,results/vtm_content_partition_study/stimuli/kodim01_a56e27cbf5f8__awgn_15_seed-20260812.png,48b8aa697fd7542986637cf02ad9db50602c40b65899e1e998057aa349033341,b39730f6b9831a534857730e076ea6ad15ce07ff0344098e179eb5e0e1687334,110.23951076191508,105.77481329738593,37,baseline,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,280.22388619999765,37904,609f35f321918c7e121735972f7291dc322ab340ae6b3322d7b493a85e913894,51143e267c0ae393f95f582e9f6f760326ff4429537c9fb8f4876b6084aa69f4,10067c8f0d10efdc3dc3432327ee1630ad9803f0052d66faf4368e4be0d2c666,4ddf3d9239f73b131f713344679f55da36cc7510e77ea9f62f1ed4793ff7aef5,4ddf3d9239f73b131f713344679f55da36cc7510e77ea9f62f1ed4793ff7aef5,True,4722,393216,768,512,393216,0,12008.6669921875,16,512,83.27318932655655,64.0,65.11822235429972,32.0,128.0,32.0,128.0,8.576556263164388,0.6895383312155866,0.9925878864887759,"{""4x4"":272,""4x8"":447,""4x16"":394,""4x32"":100,""8x4"":685,""8x8"":704,""8x16"":319,""8x32"":40,""16x4"":754,""16x8"":559,""16x16"":149,""16x32"":20,""32x4"":195,""32x8"":69,""32x16"":15}",16x4:754; 8x8:704; 8x4:685; 16x8:559; 4x8:447; 4x16:394,results/vtm_content_partition_four_qp,True,768,512,48b8aa697fd7542986637cf02ad9db50602c40b65899e1e998057aa349033341,105.77481329738593,42.627289456954955,0.7601315722111299,1.182358321956877,3.0755928616536767,0.6609708882563186,16.51344430932937,5.744906068585092,0.28821167118830654,0.9542250651890483,2.9956519799981276,0.6886780486194144,awgn_realizations;interference_qp,D_QP:poc==0,45a8536f0065c46f74ccd88b11094dbc33c70f22601caa24ab4a02e73afd2e4d,676a0aaa34a829f824520658b8a725caacfe9c5719e50f8afe9c02482c37efbb,ff779f2daa327ba2314973a58d2e881ee222517f6b8aa19c366ed43842a809f7,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,6bee603cc4e1cf2439d9a2aa0dbab357e0ec7c864e3edf9f70dc474209ddcf79,2930bea36f636a3e5b690d4067bcad373b14661892efb6f4455385ba3d550ef1
kodak,kodim01.png,kodim01_a56e27cbf5f8__awgn_15_seed-20260813,awgn,15,20260813,1797184094092325255,14.947567067948343,results/vtm_content_partition_study/stimuli/kodim01_a56e27cbf5f8__awgn_15_seed-20260813.png,24ae64f68debc260260fdcf76dcaac11a2b2f884e46f98a9825e785a1b15adf5,80c24135f055154fa008cef3d3717f369d0c851d9aefc8543a03eb05ba1f373b,110.23951076191508,105.82396498591923,22,baseline,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,402.875628400001,177297,e5cda49db2b305b81151ee4aae33f0d8c2dac220e6344d60fb6c555382facd8d,dfc8109b7ad7cac14c2b6a57d01c95780c773f2690c540bbcf38264b1259aacd,ff2b96a0fe66b50b801a18435546282c2290d80905304519de9effd4fd584dbe,5436d9842f28d9d61e5034cc0dd86c935faecff1f7e855a1bffa63ad8d1e911b,5436d9842f28d9d61e5034cc0dd86c935faecff1f7e855a1bffa63ad8d1e911b,True,6264,393216,768,512,393216,0,15930.17578125,16,1024,62.77394636015325,64.0,48.581353481554096,32.0,64.0,16.0,128.0,7.41960477283636,0.8087484035759898,0.9976053639846744,"{""4x4"":822,""4x8"":1105,""4x16"":384,""4x32"":42,""8x4"":1126,""8x8"":1066,""8x16"":360,""8x32"":18,""16x4"":563,""16x8"":553,""16x16"":90,""16x32"":10,""32x4"":74,""32x8"":46,""32x16"":3,""32x32"":2}",8x4:1126; 4x8:1105; 8x8:1066; 4x4:822; 16x4:563; 16x8:553,results/vtm_content_partition_four_qp,True,768,512,24ae64f68debc260260fdcf76dcaac11a2b2f884e46f98a9825e785a1b15adf5,105.82396498591923,42.62779958026301,0.7601059745046844,1.181880724821926,3.075803279901988,0.6609809657836951,16.524305653698143,5.745499941433712,0.2883055434789911,0.955730015482399,2.996173201881285,0.6883921377820899,awgn_realizations;interference_qp,D_QP:poc==0,45a8536f0065c46f74ccd88b11094dbc33c70f22601caa24ab4a02e73afd2e4d,676a0aaa34a829f824520658b8a725caacfe9c5719e50f8afe9c02482c37efbb,ff779f2daa327ba2314973a58d2e881ee222517f6b8aa19c366ed43842a809f7,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,c71324720a6a488b626b735f3955cb260d3fd406b12833186a335ab678021fff,b7eac8c5c8f845ac5f9736639452d07c387dab86927831218b664a396943c25d
kodak,kodim01.png,kodim01_a56e27cbf5f8__awgn_15_seed-20260813,awgn,15,20260813,1797184094092325255,14.947567067948343,results/vtm_content_partition_study/stimuli/kodim01_a56e27cbf5f8__awgn_15_seed-20260813.png,24ae64f68debc260260fdcf76dcaac11a2b2f884e46f98a9825e785a1b15adf5,80c24135f055154fa008cef3d3717f369d0c851d9aefc8543a03eb05ba1f373b,110.23951076191508,105.82396498591923,27,baseline,opencv_444,f6673e301575d77826e2e2a0bfc4fc8a81f76c42e16d7de3c38d58c4390d5b21,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,348.05840949999765,130896,c2568a0afde2b1090f43605c6f9e26579b264c220f66c4ea976b8a2d766a7734,e51c31e463ed85183346778c380096551e1a3edbaa7bcab996ae458a772f0646,6f30806561c2bae725bf9e19150a926712ae42f6914937ff21a4dd82f9ec16e1,369b3e660534b265b3deb97add24003b86097d030c667ff60ba2777bdef0911d,369b3e660534b265b3deb97add24003b86097d030c667ff60ba2777bdef0911d,True,5217,393216,768,512,393216,0,13267.51708984375,16,512,75.3720529039678,64.0,58.83757573988404,32.0,128.0,32.0,128.0,8.157401385954556,0.730879815986199,0.9957830170596128,"{""4x4"":412,""4x8"":686,""4x16"":398,""4x32"":56,""8x4"":790,""8x8"":855,""8x16"":348,""8x32"":28,""16x4"":672,""16x8"":635,""16x16"":129,""16x32"":8,""32x4"":124,""32x8"":62,""32x16"":14}",8x8:855; 8x4:790; 4x8:686; 16x4:672; 16x8:635; 4x4:412,results/vtm_content_partition_four_qp,True,768,512,24ae64f68debc260260fdcf76dcaac11a2b2f884e46f98a9825e785a1b15adf5,105.82396498591923,42.62779958026301,0.7601059745046844,1.181880724821926,3.075803279901988,0.6609809657836951,16.524305653698143,5.745499941433712,0.2883055434789911,0.955730015482399,2.996173201881285,0.6883921377820899,awgn_realizations;interference_qp,D_QP:poc==0,45a8536f0065c46f74ccd88b11094dbc33c70f22601caa24ab4a02e73afd2e4d,676a0aaa34a829f824520658b8a725caacfe9c5719e50f8afe9c02482c37efbb,ff779f2daa327ba2314973a58d2e881ee222517f6b8aa19c366ed43842a809f7,073abd496b427fca6c11302768c3f76f99365467e84cfc3debe05867c976acfe,0ec6dd9876c269c0832e0a64ab20c015c6c839d266e108c88b30aa28c77391f9,6d0b027019526d97099802ac87c48e7a5a2dbd85bef42952ab8747105bda631d,d2860cb11ef376aab3765092bcd189e7f5683649d0d8e28cc740a61cd196dd2d
