distortion,level,seed,qp,feature,primary,n_images,variant,rho_primary,rho_variant
awgn,5,20260811,22,glcm_contrast,True,24,levels32,0.7330434782608695,0.6852173913043478
awgn,5,20260811,22,glcm_contrast,True,24,horizontal,0.7330434782608695,0.7417391304347826
awgn,5,20260811,22,glcm_entropy,True,24,levels32,0.6347826086956521,0.6860869565217391
awgn,5,20260811,22,glcm_entropy,True,24,horizontal,0.6347826086956521,0.606086956521739
awgn,5,20260811,22,glcm_homogeneity,True,24,levels32,-0.7321739130434782,-0.8034782608695652
awgn,5,20260811,22,glcm_homogeneity,True,24,horizontal,-0.7321739130434782,-0.7626086956521738
awgn,5,20260811,27,glcm_contrast,True,24,levels32,0.7371167819392935,0.6727549626313198
awgn,5,20260811,27,glcm_contrast,True,24,horizontal,0.7371167819392935,0.730593624576999
awgn,5,20260811,27,glcm_entropy,True,24,levels32,0.6710154540013746,0.7131985382775465
awgn,5,20260811,27,glcm_entropy,True,24,horizontal,0.6710154540013746,0.6283974925677164
awgn,5,20260811,27,glcm_homogeneity,True,24,levels32,-0.7527723596088006,-0.8188736875467196
awgn,5,20260811,27,glcm_homogeneity,True,24,horizontal,-0.7527723596088006,-0.7684279372783078
awgn,5,20260811,32,glcm_contrast,True,24,levels32,0.7843478260869564,0.7608695652173912
awgn,5,20260811,32,glcm_contrast,True,24,horizontal,0.7843478260869564,0.768695652173913
awgn,5,20260811,32,glcm_entropy,True,24,levels32,0.7017391304347825,0.7434782608695653
awgn,5,20260811,32,glcm_entropy,True,24,horizontal,0.7017391304347825,0.6547826086956522
awgn,5,20260811,32,glcm_homogeneity,True,24,levels32,-0.8008695652173913,-0.8452173913043477
awgn,5,20260811,32,glcm_homogeneity,True,24,horizontal,-0.8008695652173913,-0.8043478260869565
awgn,5,20260811,37,glcm_contrast,True,24,levels32,0.8426086956521739,0.8165217391304347
awgn,5,20260811,37,glcm_contrast,True,24,horizontal,0.8426086956521739,0.8113043478260868
awgn,5,20260811,37,glcm_entropy,True,24,levels32,0.7330434782608695,0.7834782608695652
awgn,5,20260811,37,glcm_entropy,True,24,horizontal,0.7330434782608695,0.6773913043478261
awgn,5,20260811,37,glcm_homogeneity,True,24,levels32,-0.8347826086956522,-0.8521739130434782
awgn,5,20260811,37,glcm_homogeneity,True,24,horizontal,-0.8347826086956522,-0.837391304347826
awgn,15,20260811,22,glcm_contrast,True,24,levels32,0.677103734206183,0.7414655535141567
awgn,15,20260811,22,glcm_contrast,True,24,horizontal,0.677103734206183,0.663187665166621
awgn,15,20260811,22,glcm_entropy,True,24,levels32,0.5414220610704545,0.5731680935669551
awgn,15,20260811,22,glcm_entropy,True,24,horizontal,0.5414220610704545,0.5131550458338445
awgn,15,20260811,22,glcm_homogeneity,True,24,levels32,-0.6797129971511008,-0.675799102733724
awgn,15,20260811,22,glcm_homogeneity,True,24,horizontal,-0.6797129971511008,-0.6175255636305587
awgn,15,20260811,27,glcm_contrast,True,24,levels32,0.7208695652173913,0.7904347826086956
awgn,15,20260811,27,glcm_contrast,True,24,horizontal,0.7208695652173913,0.7008695652173913
awgn,15,20260811,27,glcm_entropy,True,24,levels32,0.5530434782608695,0.5895652173913044
awgn,15,20260811,27,glcm_entropy,True,24,horizontal,0.5530434782608695,0.5208695652173914
awgn,15,20260811,27,glcm_homogeneity,True,24,levels32,-0.7121739130434782,-0.7069565217391304
awgn,15,20260811,27,glcm_homogeneity,True,24,horizontal,-0.7121739130434782,-0.6452173913043477
awgn,15,20260811,32,glcm_contrast,True,24,levels32,0.7939130434782609,0.8626086956521739
awgn,15,20260811,32,glcm_contrast,True,24,horizontal,0.7939130434782609,0.7999999999999999
awgn,15,20260811,32,glcm_entropy,True,24,levels32,0.5747826086956522,0.6191304347826087
awgn,15,20260811,32,glcm_entropy,True,24,horizontal,0.5747826086956522,0.5504347826086956
awgn,15,20260811,32,glcm_homogeneity,True,24,levels32,-0.7913043478260869,-0.7895652173913044
awgn,15,20260811,32,glcm_homogeneity,True,24,horizontal,-0.7913043478260869,-0.7417391304347826
awgn,15,20260811,37,glcm_contrast,True,24,levels32,0.8243478260869566,0.8539130434782609
awgn,15,20260811,37,glcm_contrast,True,24,horizontal,0.8243478260869566,0.8443478260869566
awgn,15,20260811,37,glcm_entropy,True,24,levels32,0.5295652173913044,0.577391304347826
awgn,15,20260811,37,glcm_entropy,True,24,horizontal,0.5295652173913044,0.5008695652173913
awgn,15,20260811,37,glcm_homogeneity,True,24,levels32,-0.8191304347826087,-0.8443478260869565
awgn,15,20260811,37,glcm_homogeneity,True,24,horizontal,-0.8191304347826087,-0.8017391304347826
awgn,30,20260811,22,glcm_contrast,True,24,levels32,0.3087627818152792,0.398347476257459
awgn,30,20260811,22,glcm_contrast,True,24,horizontal,0.3087627818152792,0.19352033508140742
awgn,30,20260811,22,glcm_entropy,True,24,levels32,0.1622091797423932,0.12959339293092004
awgn,30,20260811,22,glcm_entropy,True,24,horizontal,0.1622091797423932,0.14220483049802302
awgn,30,20260811,22,glcm_homogeneity,True,24,levels32,0.11915634115124868,0.15394651375015336
awgn,30,20260811,22,glcm_homogeneity,True,24,horizontal,0.11915634115124868,0.20613177264851046
awgn,30,20260811,27,glcm_contrast,True,24,levels32,0.4556521739130434,0.5130434782608695
awgn,30,20260811,27,glcm_contrast,True,24,horizontal,0.4556521739130434,0.32434782608695656
awgn,30,20260811,27,glcm_entropy,True,24,levels32,0.2304347826086956,0.21739130434782605
awgn,30,20260811,27,glcm_entropy,True,24,horizontal,0.2304347826086956,0.19913043478260867
awgn,30,20260811,27,glcm_homogeneity,True,24,levels32,-0.08347826086956517,-0.0660869565217391
awgn,30,20260811,27,glcm_homogeneity,True,24,horizontal,-0.08347826086956517,0.03391304347826091
awgn,30,20260811,32,glcm_contrast,True,24,levels32,0.4782608695652174,0.5695652173913044
awgn,30,20260811,32,glcm_contrast,True,24,horizontal,0.4782608695652174,0.3643478260869565
awgn,30,20260811,32,glcm_entropy,True,24,levels32,0.28260869565217384,0.2599999999999999
awgn,30,20260811,32,glcm_entropy,True,24,horizontal,0.28260869565217384,0.26086956521739124
awgn,30,20260811,32,glcm_homogeneity,True,24,levels32,-0.051304347826086935,-0.03304347826086955
awgn,30,20260811,32,glcm_homogeneity,True,24,horizontal,-0.051304347826086935,0.0426086956521739
awgn,30,20260811,37,glcm_contrast,True,24,levels32,0.6295652173913042,0.6982608695652174
awgn,30,20260811,37,glcm_contrast,True,24,horizontal,0.6295652173913042,0.5165217391304349
awgn,30,20260811,37,glcm_entropy,True,24,levels32,0.368695652173913,0.348695652173913
awgn,30,20260811,37,glcm_entropy,True,24,horizontal,0.368695652173913,0.3295652173913043
awgn,30,20260811,37,glcm_homogeneity,True,24,levels32,-0.2652173913043478,-0.24608695652173912
awgn,30,20260811,37,glcm_homogeneity,True,24,horizontal,-0.2652173913043478,-0.15217391304347827
clean,0,,22,glcm_contrast,True,24,levels32,0.6347826086956522,0.6217391304347826
clean,0,,22,glcm_contrast,True,24,horizontal,0.6347826086956522,0.6704347826086956
clean,0,,22,glcm_entropy,True,24,levels32,0.6704347826086956,0.6895652173913043
clean,0,,22,glcm_entropy,True,24,horizontal,0.6704347826086956,0.6278260869565218
clean,0,,22,glcm_homogeneity,True,24,levels32,-0.7139130434782609,-0.8269565217391304
clean,0,,22,glcm_homogeneity,True,24,horizontal,-0.7139130434782609,-0.6834782608695652
