dataset,image,mode,qp,width,height,cu_count,min_area,max_area,avg_area,dominant_sizes
standard_color,baboon,baseline,22,500,480,4355,16,1024,55.549942594718715,4x8:900; 8x4:871; 4x4:822; 8x8:539; 16x4:302; 4x16:294
standard_color,baboon,csf,22,500,480,6351,16,512,38.091639111950876,4x4:1744; 8x4:1543; 4x8:1501; 16x4:621; 8x8:426; 4x16:303
standard_color,baboon,baseline,27,500,480,4200,16,1024,57.6,8x4:836; 4x4:762; 4x8:741; 8x8:574; 16x4:373; 16x8:303
standard_color,baboon,csf,27,500,480,6816,16,1024,35.49295774647887,4x4:2340; 8x4:1761; 4x8:1371; 16x4:488; 8x8:397; 4x16:214
standard_color,baboon,baseline,32,500,480,3456,16,1024,70.0,8x4:627; 4x8:523; 4x4:500; 8x8:430; 16x4:371; 16x8:310
standard_color,baboon,csf,32,500,480,5347,16,512,45.244062090892086,4x4:1554; 8x4:1405; 4x8:944; 16x4:437; 8x8:310; 32x4:178
standard_color,baboon,baseline,37,500,480,2240,16,1024,108.0,8x4:298; 4x8:266; 16x4:244; 16x8:240; 4x4:240; 8x8:227
standard_color,baboon,csf,37,500,480,3303,16,1024,73.2425068119891,8x4:752; 4x4:588; 4x8:530; 16x4:346; 8x8:217; 32x4:187
standard_color,barbara,baseline,22,720,576,3887,16,1024,106.69410856701826,4x8:653; 8x8:573; 4x16:466; 8x16:428; 8x4:354; 4x4:298
standard_color,barbara,csf,22,720,576,5589,16,1024,74.20289855072464,4x8:1660; 4x16:831; 4x4:720; 8x8:490; 8x4:458; 4x32:343
standard_color,barbara,baseline,27,720,576,3250,16,1024,127.60615384615384,8x8:454; 4x8:453; 8x16:377; 4x16:347; 16x8:248; 16x16:222
standard_color,barbara,csf,27,720,576,4484,16,4096,92.48884924174844,4x8:1122; 4x4:526; 4x16:490; 8x8:464; 8x4:377; 8x16:321
standard_color,barbara,baseline,32,720,576,2635,16,4096,157.38899430740037,8x16:361; 8x8:332; 16x8:304; 4x16:254; 4x8:241; 16x16:187
standard_color,barbara,csf,32,720,576,3494,16,4096,118.6949055523755,4x8:634; 8x8:417; 4x16:339; 8x4:308; 8x16:302; 16x8:281
standard_color,barbara,baseline,37,720,576,2109,16,4096,196.6429587482219,8x16:287; 8x8:270; 16x8:238; 16x16:224; 4x16:152; 8x32:147
standard_color,barbara,csf,37,720,576,2455,16,4096,168.928716904277,8x8:320; 8x16:315; 4x8:286; 4x16:234; 16x8:231; 16x16:209
standard_color,goldhill,baseline,22,720,576,6519,16,1024,63.617119190059825,4x8:1354; 8x4:1257; 4x4:1130; 8x8:826; 4x16:476; 16x4:418
standard_color,goldhill,csf,22,720,576,10420,16,1024,39.80038387715931,4x4:3574; 4x8:2504; 8x4:2395; 8x8:526; 4x16:511; 16x4:366
standard_color,goldhill,baseline,27,720,576,4603,16,1024,90.09776232891592,4x8:739; 8x4:688; 8x8:660; 4x4:490; 16x8:383; 4x16:374
standard_color,goldhill,csf,27,720,576,6151,16,1024,67.42318322224028,4x4:1288; 8x4:1256; 4x8:1132; 8x8:574; 4x16:404; 16x4:372
standard_color,goldhill,baseline,32,720,576,3028,16,4096,136.96169088507264,8x8:402; 16x8:385; 8x16:301; 4x8:295; 4x16:283; 8x4:238
standard_color,goldhill,csf,32,720,576,3469,16,4096,119.55030268088787,8x4:451; 4x8:448; 8x8:398; 16x8:376; 4x16:292; 8x16:288
standard_color,goldhill,baseline,37,720,576,1823,16,4096,227.4931431705979,16x8:277; 8x16:224; 16x16:161; 8x8:151; 32x16:143; 4x16:136
standard_color,goldhill,csf,37,720,576,1901,16,4096,218.15886375591793,8x16:259; 16x8:233; 8x8:189; 4x16:167; 16x16:160; 32x16:146
standard_color,lenna,baseline,22,512,512,4220,16,512,62.119431279620855,4x8:924; 4x4:688; 8x8:630; 8x4:594; 4x16:470; 8x16:364
standard_color,lenna,csf,22,512,512,7215,16,512,36.33319473319473,4x4:2552; 4x8:1950; 8x4:1318; 8x8:495; 4x16:375; 16x4:196
standard_color,lenna,baseline,27,512,512,2778,16,4096,94.36429085673146,4x8:649; 4x4:448; 8x8:339; 8x4:289; 4x16:270; 8x16:257
standard_color,lenna,csf,27,512,512,3635,16,4096,72.11664374140302,4x8:1009; 4x4:948; 8x4:465; 4x16:269; 8x8:268; 8x16:203
standard_color,lenna,baseline,32,512,512,1853,16,4096,141.47004856988667,4x8:309; 8x16:226; 8x8:216; 4x4:194; 4x16:164; 8x4:158
standard_color,lenna,csf,32,512,512,2232,16,4096,117.44802867383513,4x8:462; 4x4:392; 8x8:249; 8x4:230; 8x16:197; 4x16:151
standard_color,lenna,baseline,37,512,512,1299,16,4096,201.80446497305618,8x16:224; 8x8:190; 4x8:128; 16x16:126; 4x16:115; 16x8:106
standard_color,lenna,csf,37,512,512,1427,16,4096,183.7028731604765,8x8:207; 4x8:190; 8x16:167; 16x16:126; 16x8:119; 8x4:113
standard_color,peppers,baseline,22,512,512,3601,16,1024,72.79755623437934,8x4:671; 4x4:594; 4x8:586; 8x8:560; 16x8:265; 4x16:243
standard_color,peppers,csf,22,512,512,6857,16,1024,38.23012979437072,4x4:2262; 4x8:1649; 8x4:1526; 8x8:611; 4x16:252; 16x4:242
standard_color,peppers,baseline,27,512,512,2712,16,1024,96.66076696165192,8x4:425; 8x8:396; 4x4:388; 4x8:383; 4x16:216; 16x4:195
standard_color,peppers,csf,27,512,512,3506,16,1024,74.77010838562464,4x4:632; 4x8:624; 8x4:588; 8x8:446; 8x16:257; 4x16:243
standard_color,peppers,baseline,32,512,512,2071,16,4096,126.5784645098986,8x8:323; 8x16:258; 4x8:218; 8x4:205; 16x8:199; 4x4:182
