dataset,image,mode,qp,width,height,cu_count,min_area,max_area,avg_area,dominant_sizes
standard_grayscale,baboon,baseline,22,512,512,4137,16,1024,63.365723954556444,8x4:811; 4x4:760; 4x8:737; 8x8:579; 16x8:307; 16x4:304
standard_grayscale,baboon,csf,22,512,512,7491,16,1024,34.99452676545187,4x4:2690; 8x4:1803; 4x8:1432; 16x4:876; 8x8:279; 4x16:205
standard_grayscale,baboon,baseline,27,512,512,3722,16,1024,70.4309511015583,8x4:678; 4x4:654; 4x8:543; 8x8:524; 16x4:409; 16x8:320
standard_grayscale,baboon,csf,27,512,512,6358,16,1024,41.23057565272098,4x4:1966; 8x4:1560; 4x8:1245; 16x4:609; 32x4:297; 8x8:289
standard_grayscale,baboon,baseline,32,512,512,3271,16,1024,80.14185264445123,8x4:560; 4x4:460; 4x8:458; 8x8:447; 16x4:367; 16x8:339
standard_grayscale,baboon,csf,32,512,512,5270,16,1024,49.7426944971537,4x4:1538; 8x4:1266; 4x8:919; 16x4:458; 32x4:290; 8x8:237
standard_grayscale,baboon,baseline,37,512,512,2335,16,1024,112.26723768736616,8x4:314; 4x8:288; 4x4:256; 8x8:247; 16x8:246; 16x4:197
standard_grayscale,baboon,csf,37,512,512,3971,16,1024,66.01460589272223,4x4:960; 8x4:959; 4x8:617; 16x4:309; 32x4:235; 8x8:226
standard_grayscale,barbara,baseline,22,512,512,2436,16,1024,107.61247947454844,4x8:500; 8x16:338; 4x16:316; 8x8:308; 8x4:166; 4x4:156
standard_grayscale,barbara,csf,22,512,512,3837,16,1024,68.3200416992442,4x8:1185; 4x16:614; 4x4:560; 8x4:303; 8x8:237; 8x16:224
standard_grayscale,barbara,baseline,27,512,512,2063,16,4096,127.06931652932623,8x16:293; 4x8:273; 8x8:262; 4x16:250; 4x4:152; 8x4:149
standard_grayscale,barbara,csf,27,512,512,3123,16,1024,83.93980147294268,4x8:798; 4x4:478; 4x16:401; 8x4:255; 8x8:250; 8x16:244
standard_grayscale,barbara,baseline,32,512,512,1725,16,4096,151.96753623188405,8x16:256; 8x8:202; 4x8:195; 4x16:189; 16x16:148; 16x8:141
standard_grayscale,barbara,csf,32,512,512,2562,16,4096,102.32006245120999,4x8:644; 4x16:294; 8x8:260; 4x4:248; 8x4:228; 8x16:217
standard_grayscale,barbara,baseline,37,512,512,1288,16,4096,203.527950310559,8x16:221; 16x16:143; 16x8:138; 8x8:112; 4x16:110; 8x32:92
standard_grayscale,barbara,csf,37,512,512,1879,16,4096,139.5125066524747,4x8:381; 8x8:206; 4x16:196; 8x16:177; 16x8:163; 16x16:132
standard_grayscale,goldhill,baseline,22,512,512,4518,16,1024,58.02213368747233,8x4:940; 4x8:931; 4x4:846; 8x8:584; 16x4:328; 4x16:293
standard_grayscale,goldhill,csf,22,512,512,7838,16,1024,33.44526664965552,4x4:3188; 8x4:1881; 4x8:1769; 8x8:287; 4x16:268; 16x4:247
standard_grayscale,goldhill,baseline,27,512,512,3927,16,1024,66.75426534250063,8x4:771; 4x8:745; 4x4:704; 8x8:433; 4x16:315; 16x4:260
standard_grayscale,goldhill,csf,27,512,512,5561,16,1024,47.13972307139004,4x4:1676; 8x4:1326; 4x8:1166; 8x8:378; 16x4:315; 4x16:258
standard_grayscale,goldhill,baseline,32,512,512,2727,16,1024,96.12907957462413,4x8:436; 8x4:385; 8x8:385; 4x4:270; 16x8:247; 8x16:230
standard_grayscale,goldhill,csf,32,512,512,3188,16,1024,82.22835633626097,4x8:566; 8x4:536; 4x4:476; 8x8:382; 16x8:251; 4x16:237
standard_grayscale,goldhill,baseline,37,512,512,1669,16,1024,157.0665068903535,8x16:233; 16x8:192; 8x8:185; 4x16:157; 16x4:126; 16x16:125
standard_grayscale,goldhill,csf,37,512,512,1815,16,4096,144.431955922865,8x8:238; 8x16:216; 16x8:200; 4x16:190; 4x8:162; 8x4:140
standard_grayscale,lenna,baseline,22,512,512,3256,16,1024,80.51105651105651,4x8:647; 4x4:562; 8x8:466; 8x4:416; 8x16:324; 4x16:306
standard_grayscale,lenna,csf,22,512,512,5051,16,1024,51.899425856266085,4x4:1556; 4x8:1369; 8x4:739; 8x8:370; 4x16:341; 8x16:204
standard_grayscale,lenna,baseline,27,512,512,2327,16,4096,112.6532015470563,4x8:521; 4x4:310; 8x16:274; 8x8:266; 8x4:210; 4x16:196
standard_grayscale,lenna,csf,27,512,512,3097,16,4096,84.64449467226348,4x8:826; 4x4:724; 8x4:356; 8x8:286; 4x16:224; 8x16:184
standard_grayscale,lenna,baseline,32,512,512,1794,16,4096,146.1226309921962,4x8:283; 8x8:235; 8x16:212; 4x4:198; 16x16:157; 4x16:152
standard_grayscale,lenna,csf,32,512,512,2063,16,4096,127.06931652932623,4x8:406; 4x4:314; 8x8:228; 8x16:210; 4x16:187; 8x4:161
standard_grayscale,lenna,baseline,37,512,512,1307,16,4096,200.56924254016832,8x16:209; 8x8:192; 4x8:144; 16x16:126; 4x16:109; 16x8:83
standard_grayscale,lenna,csf,37,512,512,1304,16,4096,201.03067484662577,8x16:187; 8x8:170; 4x8:153; 16x16:147; 16x32:88; 4x16:88
standard_grayscale,peppers,baseline,22,512,512,3573,16,1024,73.36803806325217,8x4:663; 4x4:610; 8x8:561; 4x8:558; 16x8:252; 4x16:236
standard_grayscale,peppers,csf,22,512,512,6941,16,1024,37.767468664457574,4x4:2424; 4x8:1572; 8x4:1552; 8x8:573; 4x16:260; 16x4:247
standard_grayscale,peppers,baseline,27,512,512,2735,16,1024,95.84789762340037,8x8:425; 4x4:398; 8x4:396; 4x8:385; 8x16:211; 4x16:209
standard_grayscale,peppers,csf,27,512,512,3472,16,1024,75.50230414746544,4x4:644; 4x8:608; 8x4:584; 8x8:452; 8x16:263; 4x16:231
standard_grayscale,peppers,baseline,32,512,512,2074,16,4096,126.3953712632594,8x8:311; 8x16:237; 4x8:221; 8x4:220; 4x4:198; 4x16:163
standard_grayscale,peppers,csf,32,512,512,2110,16,4096,124.23886255924171,8x8:287; 8x4:286; 4x4:242; 8x16:240; 4x8:225; 16x8:194
standard_grayscale,peppers,baseline,37,512,512,1417,16,4096,184.99929428369796,8x8:197; 8x16:180; 16x8:179; 16x16:128; 16x4:116; 4x16:94
standard_grayscale,peppers,csf,37,512,512,1373,16,4096,190.9278951201748,8x16:192; 8x8:190; 16x8:163; 16x16:161; 4x16:93; 16x4:74
