image,width,height,qp,mode,bitstream_bytes,compression_ratio,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,ssim,xpsnr_y,vmaf,msssim_luma,fsim_luma,haarpsi_luma,psnr_hvs_m_luma,psnr_rgb,msssim_rgb
baboon,500,480,37,baseline,21024,34.24657534246575,0.7008,21.024,27.3295,30.9371,28.7006,0.70307,32.5729,76.663589,0.960741047677034,0.881497733765024,0.77872679736132,30.6732102322313,24.6073117509574,0.939731518282306
baboon,500,480,37,csf,19996,36.00720144028806,0.6665333333333333,19.996,26.8979,30.8473,28.549,0.694805,32.2008,75.838869,0.958451483068589,0.871072482861874,0.771904583859221,30.3206894257887,24.3384808503787,0.937683351745627
baboon,500,480,32,baseline,53625,13.426573426573427,1.7875,53.625,31.2404,32.5947,31.2171,0.821013,36.2951,88.01837,0.983057870782483,0.945389874846818,0.896491168460192,36.9247821080727,27.4304210021632,0.969449343400691
baboon,500,480,32,csf,49928,14.420765902900177,1.6642666666666666,49.928,30.2013,32.2944,30.7465,0.804345,35.3935,86.550067,0.98102290949031,0.934450324401071,0.883822947561264,36.2656684463464,26.80684129402,0.967435036186459
barbara,720,576,27,baseline,43071,28.886257574702235,0.8308449074074075,43.071,38.6177,42.6451,41.2835,0.956457,43.2221,93.616115,0.993897459810921,0.984072818482361,0.962775769203254,42.2448128665865,35.7309700282639,0.98854334684584
barbara,720,576,27,csf,40529,30.698018702657357,0.7818094135802469,40.529,37.8447,42.431,41.0638,0.954637,42.6081,93.205253,0.993513685037822,0.981429787771293,0.960940227263349,42.1233119710648,35.2147006078013,0.988157397203929
baboon,500,480,27,baseline,122365,5.884035467658236,4.078833333333334,122.365,36.4084,36.2183,35.9938,0.937331,41.4004,93.524725,0.99489167617251,0.984142057274468,0.963182496407707,44.0661184900962,31.7720669201143,0.98878989023995
baboon,500,480,27,csf,123194,5.8444404759972075,4.106466666666667,123.194,34.7997,35.1789,35.1246,0.923653,39.9655,92.369871,0.994007965915554,0.978770055191438,0.955848791383463,42.9609769226925,30.604963908772,0.986575145420492
baboon,500,480,22,baseline,197269,3.649838545336571,6.575633333333333,197.269,41.4328,41.211,41.1551,0.980719,46.3624,95.597532,0.998500807454691,0.99532932395647,0.987676604761073,50.0349254077011,36.6573634502435,0.996362537009049
baboon,500,480,22,csf,215521,3.3407417374640986,7.184033333333334,215.521,39.7961,39.6396,40.2496,0.975714,44.9487,95.034456,0.998194551177216,0.993799959547338,0.984945462160147,48.8666036791946,35.2639925638942,0.995401075388275
