image,width,height,qp,mode,bitstream_bytes,compression_ratio,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,ssim,xpsnr_y,vmaf,msssim_luma,fsim_luma,haarpsi_luma,psnr_hvs_m_luma,psnr_rgb,msssim_rgb
barbara,512,512,27,baseline,23003,34.18823631700213,0.701995849609375,23.003,38.9204,999.99,999.99,0.988355,43.4151,93.734069,0.994245239535206,0.984859656099451,0.963671112234404,42.556942793865,38.6157270681304,0.994148657316369
barbara,512,512,27,csf,22017,35.719307807603215,0.671905517578125,22.017,38.1088,999.99,999.99,0.987608,42.7626,93.107983,0.993793303382072,0.98200572811246,0.961865109030684,42.4674080965553,37.8612677085235,0.993876190418826
baboon,512,512,37,baseline,20663,38.05991385568407,0.630584716796875,20.663,28.3356,999.99,999.99,0.950888,34.2084,78.564447,0.966285162655084,0.907313161860624,0.800920573813621,31.4375360550659,28.3061955661833,0.966747310708246
baboon,512,512,37,csf,19923,39.473573257039604,0.608001708984375,19.923,27.7921,999.99,999.99,0.947939,33.72,77.802692,0.963753001607175,0.8979670687438,0.79200966465164,31.1401356843471,27.7687291052048,0.965435064058446
baboon,512,512,32,baseline,39211,20.05641274132259,1.196624755859375,39.211,32.273,999.99,999.99,0.97506,38.0169,88.896403,0.985897408280852,0.959284974561668,0.90846998158846,37.6982526491165,32.2039574851797,0.986410035643572
baboon,512,512,32,csf,37172,21.156569460884537,1.1343994140625,37.172,31.1227,999.99,999.99,0.971554,36.9589,87.65433,0.983913817700976,0.94923791864267,0.897997900028128,37.1630344729628,31.068464324851,0.984937409262857
barbara,512,512,22,baseline,37937,20.729947017423623,1.157745361328125,37.937,42.1535,999.99,999.99,0.993102,46.3593,95.867124,0.997302253281701,0.99276778666559,0.985760803675075,47.4610172635608,41.5514809689516,0.997295119236162
barbara,512,512,22,csf,36023,21.831385503705967,1.099334716796875,36.023,40.9787,999.99,999.99,0.992228,45.4007,95.451894,0.996909428650848,0.990781802782651,0.983815160730201,47.3008398513052,40.5192507936982,0.997021153598268
baboon,512,512,27,baseline,64550,12.183299767621998,1.96990966796875,64.55,36.8709,999.99,999.99,0.990009,42.5217,93.62629,0.995215398003021,0.985718443560426,0.966943247653804,44.4985830805962,36.6700049273891,0.995300366866915
baboon,512,512,27,csf,63076,12.468006848880716,1.9249267578125,63.076,35.0558,999.99,999.99,0.987159,40.8287,93.1184,0.993907921065306,0.979615785639888,0.96107471384636,43.7797511722646,34.9202859592353,0.994355188283249
baboon,512,512,22,baseline,92859,8.469098310341485,2.833831787109375,92.859,41.8027,999.99,999.99,0.996808,47.3604,95.877042,0.99856212382487,0.995705182771571,0.988929980335296,49.6138566246632,41.215654694422,0.998559355120721
baboon,512,512,22,csf,95382,8.245077687614016,2.91082763671875,95.382,39.5977,999.99,999.99,0.995479,45.3151,95.62928,0.998027955439974,0.993218029695086,0.986279013894913,48.9083628628447,39.2179447338219,0.998144057102805
barbara,512,512,37,baseline,8112,96.94674556213018,0.24755859375,8.112,32.8048,999.99,999.99,0.972849,37.679,81.051344,0.979104057207696,0.945336700553611,0.850713523461363,33.0411518051441,32.7330419819992,0.978492968307088
barbara,512,512,37,csf,7882,99.77569144887084,0.24053955078125,7.882,32.2339,999.99,999.99,0.970818,37.2042,81.012072,0.978192507768052,0.938271552857314,0.850256428028683,33.0443277202076,32.1681072215034,0.977999673369727
